# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 44
8.018244989216327667e-03 4.645365524291992188e+01 3.457706604003906250e+02 4.400280151367187500e+02 3.466029968261718750e+02 -6.409638671875000000e+02 3.892010192871093750e+02 5.223224639892578125e+01 1.255335617065429688e+02 1.410377807617187500e+02 1.640354728698730469e+01 -2.247555923461914062e+01 1.981831550598144531e+01
1.401655934751033783e-02 5.045285034179687500e+01 3.941454467773437500e+02 4.703133544921875000e+02 2.321799087524414062e+01 5.221685180664062500e+02 4.286138916015625000e+02 -1.623178100585937500e+01 1.389499206542968750e+02 1.515404357910156250e+02 -5.179352760314941406e+00 1.723017692565917969e+01 1.981831550598144531e+01
1.969251595437526703e-02 4.279617691040039062e+01 3.226822509765625000e+02 3.932067871093750000e+02 1.626425781250000000e+02 2.760864562988281250e+02 3.546638488769531250e+02 1.322256278991699219e+01 1.144947662353515625e+02 1.261506805419921875e+02 3.968017578125000000e+00 9.742362976074218750e+00 1.981831550598144531e+01
2.551339380443096161e-02 4.238351058959960938e+01 3.331140136718750000e+02 4.028251342773437500e+02 1.260726699829101562e+02 1.459311828613281250e+02 3.649451904296875000e+02 8.489846229553222656e+00 1.164014663696289062e+02 1.278718795776367188e+02 2.845867156982421875e+00 4.957086086273193359e+00 1.981831550598144531e+01
3.202908113598823547e-02 3.816785812377929688e+01 2.827778625488281250e+02 3.496219482421875000e+02 1.912735595703125000e+02 -1.713362731933593750e+02 3.132465209960937500e+02 2.372342872619628906e+01 1.011773071289062500e+02 1.125857238769531250e+02 8.767502784729003906e+00 -6.003965854644775391e+00 1.981831550598144531e+01
3.846523538231849670e-02 2.690752792358398438e+01 2.025353088378906250e+02 2.452535858154296875e+02 8.035237121582031250e+01 -7.021578216552734375e+01 2.219041748046875000e+02 6.916887760162353516e+00 7.116287994384765625e+01 7.839137268066406250e+01 2.724529027938842773e+00 -2.148427009582519531e+00 1.981831550598144531e+01
4.443310573697090149e-02 2.259016227722167969e+01 1.766161499023437500e+02 2.145294799804687500e+02 8.008659362792968750e+01 6.505564880371093750e+01 1.934806823730468750e+02 6.065725326538085938e+00 6.020691680908203125e+01 6.633200073242187500e+01 2.083442687988281250e+00 2.122349500656127930e+00 1.981831550598144531e+01
5.042308941483497620e-02 1.972793579101562500e+01 1.602783050537109375e+02 1.941404876708984375e+02 9.970962524414062500e+01 3.930790328979492188e+01 1.752674407958984375e+02 1.108525657653808594e+01 5.330032730102539062e+01 5.877567672729492188e+01 3.970688104629516602e+00 5.975616574287414551e-01 1.981831550598144531e+01
5.690929666161537170e-02 1.840929794311523438e+01 1.483710632324218750e+02 1.785353088378906250e+02 5.306055068969726562e+01 -4.082300567626953125e+01 1.617086486816406250e+02 3.861407041549682617e+00 4.955136108398437500e+01 5.423386001586914062e+01 1.248106241226196289e+00 -1.551407098770141602e+00 1.981831550598144531e+01
6.341847032308578491e-02 1.786924743652343750e+01 1.517520904541015625e+02 1.811042480468750000e+02 6.727804565429687500e+01 6.406452178955078125e+01 1.645662994384765625e+02 5.860701560974121094e+00 4.936419677734375000e+01 5.390775299072265625e+01 2.025343179702758789e+00 1.947313666343688965e+00 1.981831550598144531e+01
6.949992477893829346e-02 1.584784603118896484e+01 1.318032989501953125e+02 1.570283660888671875e+02 3.816071701049804688e+01 -2.216510009765625000e+01 1.425877532958984375e+02 1.708780288696289062e+00 4.312153625488281250e+01 4.704404067993164062e+01 9.364839196205139160e-01 -5.807012915611267090e-01 1.981831550598144531e+01
7.558133453130722046e-02 1.530770111083984375e+01 1.280065002441406250e+02 1.519082031250000000e+02 4.151464462280273438e+01 -4.751471519470214844e+00 1.381375427246093750e+02 2.665880203247070312e+00 4.149370193481445312e+01 4.521697616577148438e+01 1.009525895118713379e+00 -2.952316701412200928e-01 1.981831550598144531e+01
8.196274191141128540e-02 1.402997684478759766e+01 1.220157089233398438e+02 1.468390045166015625e+02 4.751778793334960938e+01 1.303653717041015625e+01 1.322296905517578125e+02 2.829640865325927734e+00 3.881392669677734375e+01 4.231667327880859375e+01 9.380429983139038086e-01 2.981994152069091797e-01 1.981831550598144531e+01
8.830232173204421997e-02 1.239620399475097656e+01 1.116369934082031250e+02 1.309432678222656250e+02 3.509782409667968750e+01 1.128390121459960938e+01 1.195239105224609375e+02 2.062268733978271484e+00 3.464707183837890625e+01 3.736983108520507812e+01 7.350596189498901367e-01 4.315454661846160889e-01 1.981831550598144531e+01
9.435217082500457764e-02 9.612963676452636719e+00 8.919219207763671875e+01 1.059120559692382812e+02 2.388969230651855469e+01 -1.532844448089599609e+01 9.562471771240234375e+01 7.322605252265930176e-01 2.675515937805175781e+01 2.904611396789550781e+01 3.684965670108795166e-01 -5.107418894767761230e-01 1.981831550598144531e+01
1.005600690841674805e-01 9.463550567626953125e+00 8.957055664062500000e+01 1.056759033203125000e+02 2.497236442565917969e+01 -2.242165756225585938e+01 9.567896270751953125e+01 9.896719455718994141e-01 2.661588859558105469e+01 2.871300888061523438e+01 2.776372432708740234e-01 -7.557786107063293457e-01 1.981831550598144531e+01
1.070138886570930481e-01 8.334355354309082031e+00 8.064950561523437500e+01 9.531585693359375000e+01 3.328900146484375000e+01 2.053628158569335938e+01 8.595614624023437500e+01 2.543952941894531250e+00 2.336577606201171875e+01 2.512884521484375000e+01 6.479178667068481445e-01 4.751444756984710693e-01 1.981831550598144531e+01
1.134273484349250793e-01 7.871574878692626953e+00 7.681940460205078125e+01 9.130554199218750000e+01 3.298127365112304688e+01 1.710716438293457031e+01 8.190870666503906250e+01 2.256160020828247070e+00 2.213525390625000000e+01 2.381353759765625000e+01 8.407532572746276855e-01 3.868870437145233154e-01 1.981831550598144531e+01
1.196089535951614380e-01 7.539111614227294922e+00 7.635018920898437500e+01 9.061138916015625000e+01 3.020123863220214844e+01 6.828325986862182617e-01 8.128059387207031250e+01 2.024519920349121094e+00 2.154249000549316406e+01 2.317864227294921875e+01 5.375475287437438965e-01 -1.143000554293394089e-03 1.981831550598144531e+01
1.257804334163665771e-01 7.152885913848876953e+00 7.284679412841796875e+01 8.611219024658203125e+01 2.832214164733886719e+01 9.743799209594726562e+00 7.709342193603515625e+01 1.541825771331787109e+00 2.038792228698730469e+01 2.184099197387695312e+01 6.303352713584899902e-01 1.344907432794570923e-01 1.981831550598144531e+01
1.321490257978439331e-01 6.798929214477539062e+00 7.133433532714843750e+01 8.311008453369140625e+01 2.531382179260253906e+01 -2.556490421295166016e+00 7.495071411132812500e+01 1.621924042701721191e+00 1.951229667663574219e+01 2.072389411926269531e+01 6.208422780036926270e-01 -1.216568276286125183e-01 1.981831550598144531e+01
1.384563297033309937e-01 6.306077957153320312e+00 6.811130523681640625e+01 7.944876098632812500e+01 2.370049285888671875e+01 7.452276706695556641e+00 7.140554046630859375e+01 1.249289274215698242e+00 1.828259277343750000e+01 1.930887413024902344e+01 2.743991017341613770e-01 1.321266591548919678e-01 1.981831550598144531e+01
