# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 60
8.018244989216327667e-03 2.446011543273925781e+01 1.793197784423828125e+02 2.107344665527343750e+02 -4.093084716796875000e+01 8.013875579833984375e+01 1.937290496826171875e+02 -1.425222396850585938e+01 6.370026016235351562e+01 6.914873504638671875e+01 -5.399104595184326172e+00 1.347791671752929688e+00 1.978631401062011719e+01
1.401655934751033783e-02 4.081666183471679688e+01 2.926084289550781250e+02 3.523389892578125000e+02 6.085916900634765625e+01 -1.348300476074218750e+02 3.201058044433593750e+02 9.315097928047180176e-01 1.064477005004882812e+02 1.165041503906250000e+02 -2.449210405349731445e+00 -3.703070402145385742e+00 1.978631401062011719e+01
1.969251595437526703e-02 3.698382186889648438e+01 2.893405456542968750e+02 3.650970458984375000e+02 3.109957580566406250e+02 2.629894714355468750e+02 3.234814758300781250e+02 3.969013977050781250e+01 1.004172744750976562e+02 1.129051666259765625e+02 1.432528877258300781e+01 7.948539257049560547e+00 1.978631401062011719e+01
2.551339380443096161e-02 3.774464035034179688e+01 2.844786071777343750e+02 3.360513610839843750e+02 -3.501779937744140625e+01 3.632151031494140625e+01 3.080685424804687500e+02 -1.735701942443847656e+01 1.014779968261718750e+02 1.102165527343750000e+02 -6.575225830078125000e+00 1.996161103248596191e+00 1.978631401062011719e+01
3.202908113598823547e-02 2.948597717285156250e+01 2.205025329589843750e+02 2.646570434570312500e+02 6.307670593261718750e+01 4.053189086914062500e+01 2.406380157470703125e+02 2.729209899902343750e+00 7.789949035644531250e+01 8.543432617187500000e+01 9.609150886535644531e-01 1.406968355178833008e+00 1.978631401062011719e+01
3.846523538231849670e-02 2.618869972229003906e+01 2.040796508789062500e+02 2.462768707275390625e+02 6.325679397583007812e+01 3.617551326751708984e-01 2.232739410400390625e+02 3.588108062744140625e+00 7.068660736083984375e+01 7.770523071289062500e+01 1.138841629028320312e+00 1.594555936753749847e-02 1.978631401062011719e+01
4.443310573697090149e-02 2.307488059997558594e+01 1.866954193115234375e+02 2.287313537597656250e+02 1.304194030761718750e+02 -1.022303676605224609e+01 2.056216125488281250e+02 1.544034767150878906e+01 6.329252243041992188e+01 7.025600433349609375e+01 6.247636795043945312e+00 -3.834823966026306152e-01 1.978631401062011719e+01
5.042308941483497620e-02 2.181697463989257812e+01 1.734413604736328125e+02 2.090755157470703125e+02 8.497242736816406250e+01 3.071163368225097656e+01 1.895298156738281250e+02 8.483793258666992188e+00 5.886811447143554688e+01 6.455914306640625000e+01 2.139413118362426758e+00 4.086654782295227051e-01 1.978631401062011719e+01
5.690929666161537170e-02 1.813645362854003906e+01 1.511538848876953125e+02 1.802084503173828125e+02 5.137255477905273438e+01 1.297764015197753906e+01 1.641267089843750000e+02 3.477010250091552734e+00 4.978993225097656250e+01 5.447717666625976562e+01 1.673348307609558105e+00 3.573019206523895264e-01 1.978631401062011719e+01
6.341847032308578491e-02 1.702888870239257812e+01 1.391961364746093750e+02 1.671288299560546875e+02 6.191322326660156250e+01 2.871883964538574219e+01 1.515512542724609375e+02 5.563815116882324219e+00 4.621268844604492188e+01 5.065841293334960938e+01 2.280586004257202148e+00 7.832178473472595215e-01 1.978631401062011719e+01
6.949992477893829346e-02 1.547063255310058594e+01 1.310959930419921875e+02 1.554590759277343750e+02 4.574352645874023438e+01 9.756492614746093750e+00 1.417451782226562500e+02 3.191400051116943359e+00 4.242770004272460938e+01 4.626468276977539062e+01 1.353053808212280273e+00 3.056541383266448975e-01 1.978631401062011719e+01
7.558133453130722046e-02 1.496141338348388672e+01 1.276193847656250000e+02 1.504181213378906250e+02 3.033783340454101562e+01 -2.983047103881835938e+01 1.374171600341796875e+02 8.848544955253601074e-01 4.105535125732421875e+01 4.450566482543945312e+01 3.665341138839721680e-01 -1.017447710037231445e+00 1.978631401062011719e+01
8.196274191141128540e-02 1.238564777374267578e+01 1.074320907592773438e+02 1.275177993774414062e+02 3.825812530517578125e+01 -3.779587030410766602e+00 1.158846969604492188e+02 2.767112493515014648e+00 3.380907821655273438e+01 3.678092193603515625e+01 9.153342247009277344e-01 -2.185115218162536621e-01 1.978631401062011719e+01
8.830232173204421997e-02 1.157081985473632812e+01 1.044133071899414062e+02 1.235041275024414062e+02 4.386222076416015625e+01 1.208170127868652344e+01 1.123282546997070312e+02 4.054778099060058594e+00 3.213856887817382812e+01 3.481095123291015625e+01 1.180290341377258301e+00 3.205573856830596924e-01 1.978631401062011719e+01
9.435217082500457764e-02 9.880081176757812500e+00 9.198374938964843750e+01 1.071630401611328125e+02 3.591675949096679688e+01 2.350694084167480469e+01 9.804141998291015625e+01 3.073868751525878906e+00 2.753307342529296875e+01 2.958977127075195312e+01 9.794328808784484863e-01 4.484185576438903809e-01 1.978631401062011719e+01
1.005600690841674805e-01 9.372056007385253906e+00 8.812564849853515625e+01 1.050517730712890625e+02 3.762429809570312500e+01 -1.227612733840942383e+00 9.484400177001953125e+01 3.167039155960083008e+00 2.614959526062011719e+01 2.845876312255859375e+01 8.982053995132446289e-01 -1.321008354425430298e-01 1.978631401062011719e+01
1.070138886570930481e-01 8.200278282165527344e+00 8.048717498779296875e+01 9.471535491943359375e+01 2.554100418090820312e+01 1.095514392852783203e+01 8.584799194335937500e+01 1.213498592376708984e+00 2.320130538940429688e+01 2.501525688171386719e+01 4.862028658390045166e-01 2.332150489091873169e-01 1.978631401062011719e+01
1.134273484349250793e-01 7.702825546264648438e+00 7.652307128906250000e+01 9.162417602539062500e+01 3.908659362792968750e+01 5.735381126403808594e+00 8.221913909912109375e+01 3.545453071594238281e+00 2.184334945678710938e+01 2.367179679870605469e+01 1.057503342628479004e+00 1.400607675313949585e-01 1.978631401062011719e+01
1.196089535951614380e-01 7.361999034881591797e+00 7.652109527587890625e+01 9.002455902099609375e+01 3.016057968139648438e+01 -1.733712553977966309e+00 8.137728881835937500e+01 2.118783235549926758e+00 2.127516365051269531e+01 2.284838867187500000e+01 6.640971302986145020e-01 -1.507242769002914429e-01 1.978631401062011719e+01
1.257804334163665771e-01 7.063486576080322266e+00 7.114273834228515625e+01 8.413613128662109375e+01 2.756102371215820312e+01 -4.620861411094665527e-01 7.568369293212890625e+01 1.931747794151306152e+00 1.995307731628417969e+01 2.143368911743164062e+01 5.441920757293701172e-01 -5.900197476148605347e-02 1.978631401062011719e+01
1.321490257978439331e-01 6.657459735870361328e+00 6.962356567382812500e+01 8.138437652587890625e+01 2.519201469421386719e+01 1.381059932708740234e+01 7.352464294433593750e+01 1.557079553604125977e+00 1.909183692932128906e+01 2.033834266662597656e+01 5.435395240783691406e-01 3.774956166744232178e-01 1.978631401062011719e+01
1.384563297033309937e-01 6.264721393585205078e+00 6.657655334472656250e+01 7.726301574707031250e+01 2.622571372985839844e+01 1.811036705970764160e+00 6.989568328857421875e+01 2.075540781021118164e+00 1.806817626953125000e+01 1.913477706909179688e+01 6.934948563575744629e-01 -5.674618482589721680e-02 1.978631401062011719e+01
1.446497291326522827e-01 5.859744071960449219e+00 6.322027587890625000e+01 7.394007110595703125e+01 2.084661865234375000e+01 9.210651397705078125e+00 6.643943023681640625e+01 8.669279217720031738e-01 1.691720581054687500e+01 1.792093467712402344e+01 2.447299659252166748e-01 2.062483131885528564e-01 1.978631401062011719e+01
1.508535146713256836e-01 5.169762611389160156e+00 5.879903793334960938e+01 6.919741821289062500e+01 2.514870071411132812e+01 -2.054399013519287109e+00 6.168053054809570312e+01 1.644894361495971680e+00 1.505012035369873047e+01 1.597999858856201172e+01 5.174974799156188965e-01 -7.616682350635528564e-02 1.978631401062011719e+01
1.571729034185409546e-01 4.885900497436523438e+00 5.654702758789062500e+01 6.655829620361328125e+01 2.023503112792968750e+01 5.818902015686035156e+00 5.925476837158203125e+01 8.055250644683837891e-01 1.433846473693847656e+01 1.519306278228759766e+01 3.004671037197113037e-01 1.087315753102302551e-01 1.978631401062011719e+01
1.635417938232421875e-01 4.554626464843750000e+00 5.362067794799804688e+01 6.309095382690429688e+01 2.571531105041503906e+01 9.781167984008789062e+00 5.587327575683593750e+01 1.821251392364501953e+00 1.333704376220703125e+01 1.411962509155273438e+01 4.806964695453643799e-01 1.660680919885635376e-01 1.978631401062011719e+01
1.698256134986877441e-01 4.214844226837158203e+00 5.291922378540039062e+01 6.089817428588867188e+01 1.870386886596679688e+01 6.901544094085693359e+00 5.446170425415039062e+01 8.898991942405700684e-01 1.267388629913330078e+01 1.322929096221923828e+01 1.904715597629547119e-01 7.247554510831832886e-02 1.978631401062011719e+01
1.761013567447662354e-01 4.081834316253662109e+00 5.046786499023437500e+01 5.906038665771484375e+01 1.965859794616699219e+01 2.121519088745117188e+00 5.221316146850585938e+01 9.959598183631896973e-01 1.211558151245117188e+01 1.272546863555908203e+01 3.468179404735565186e-01 3.729837387800216675e-02 1.978631401062011719e+01
1.823998540639877319e-01 3.963534355163574219e+00 5.098124694824218750e+01 5.907378005981445312e+01 1.704754829406738281e+01 5.818989753723144531e+00 5.237448120117187500e+01 3.626033067703247070e-01 1.194601917266845703e+01 1.243987083435058594e+01 1.767084151506423950e-01 8.026739954948425293e-02 1.978631401062011719e+01
