# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 119
8.018244989216327667e-03 3.965678787231445312e+01 2.908716735839843750e+02 3.533585815429687500e+02 4.493877410888671875e+01 -4.768667602539062500e+01 3.192437744140625000e+02 -4.643716335296630859e+00 1.051760406494140625e+02 1.164049606323242188e+02 1.423740625381469727e+00 -1.266839861869812012e+00 1.974851417541503906e+01
1.401655934751033783e-02 4.470475387573242188e+01 3.443310241699218750e+02 4.180802917480468750e+02 1.399349060058593750e+02 2.662836914062500000e+02 3.779998168945312500e+02 9.382284164428710938e+00 1.216863937377929688e+02 1.336920318603515625e+02 1.629316687583923340e+00 7.287063121795654297e+00 1.974851417541503906e+01
1.969251595437526703e-02 3.987907409667968750e+01 3.083932800292968750e+02 3.685139465332031250e+02 7.324540710449218750e+01 3.813238525390625000e+01 3.360491027832031250e+02 1.665700078010559082e+00 1.080483474731445312e+02 1.178985900878906250e+02 -1.073732256889343262e+00 1.103249549865722656e+00 1.974851417541503906e+01
2.551339380443096161e-02 3.612405776977539062e+01 2.653647766113281250e+02 3.180815124511718750e+02 2.161580848693847656e+01 -6.654770660400390625e+01 2.894904174804687500e+02 -6.148718357086181641e+00 9.564191436767578125e+01 1.045627517700195312e+02 -2.929124593734741211e+00 -2.295172691345214844e+00 1.974851417541503906e+01
3.202908113598823547e-02 2.854188728332519531e+01 2.310515136718750000e+02 2.766746215820312500e+02 5.342483901977539062e+01 1.095209980010986328e+01 2.518446960449218750e+02 6.171528100967407227e-01 7.872341156005859375e+01 8.621366119384765625e+01 3.895384967327117920e-01 6.075984239578247070e-02 1.974851417541503906e+01
3.846523538231849670e-02 2.802758979797363281e+01 2.134351959228515625e+02 2.590106506347656250e+02 1.046784820556640625e+02 6.202579879760742188e+01 2.340357360839843750e+02 9.448637008666992188e+00 7.497911071777343750e+01 8.269092559814453125e+01 3.735947132110595703e+00 2.024598836898803711e+00 1.974851417541503906e+01
4.443310573697090149e-02 2.446616363525390625e+01 1.993611755371093750e+02 2.382105865478515625e+02 7.750186920166015625e+01 7.616991996765136719e+00 2.170179443359375000e+02 6.797717571258544922e+00 6.733178710937500000e+01 7.371485900878906250e+01 2.602741718292236328e+00 3.345254659652709961e-01 1.974851417541503906e+01
5.042308941483497620e-02 2.316349983215332031e+01 1.813151397705078125e+02 2.200664215087890625e+02 7.638748168945312500e+01 2.889655303955078125e+01 1.986279144287109375e+02 5.994439125061035156e+00 6.198939514160156250e+01 6.826006317138671875e+01 2.024231433868408203e+00 6.491888761520385742e-01 1.974851417541503906e+01
5.690929666161537170e-02 2.068684196472167969e+01 1.653488006591796875e+02 1.989901428222656250e+02 6.254371643066406250e+01 -1.759618759155273438e+01 1.803912506103515625e+02 4.878151416778564453e+00 5.581432723999023438e+01 6.118974304199218750e+01 1.717156529426574707e+00 -7.647395730018615723e-01 1.974851417541503906e+01
6.341847032308578491e-02 1.754381752014160156e+01 1.437458038330078125e+02 1.720804290771484375e+02 5.558360671997070312e+01 4.710728073120117188e+01 1.561554412841796875e+02 3.748881578445434570e+00 4.776158905029296875e+01 5.233558654785156250e+01 2.068998098373413086e+00 1.486868739128112793e+00 1.974851417541503906e+01
6.949992477893829346e-02 1.642230033874511719e+01 1.402599182128906250e+02 1.673347625732421875e+02 5.736994171142578125e+01 7.860785961151123047e+00 1.520918579101562500e+02 5.090368270874023438e+00 4.552076339721679688e+01 4.969002532958984375e+01 1.688672900199890137e+00 2.029078155755996704e-01 1.974851417541503906e+01
7.558133453130722046e-02 1.483941841125488281e+01 1.272567825317382812e+02 1.523701477050781250e+02 5.528494644165039062e+01 -1.466259002685546875e+01 1.379835357666015625e+02 4.970078945159912109e+00 4.083082962036132812e+01 4.455806350708007812e+01 1.826053738594055176e+00 -5.567046999931335449e-01 1.974851417541503906e+01
