# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 132
8.018244989216327667e-03 4.045839691162109375e+01 3.237261962890625000e+02 4.009985961914062500e+02 2.488374176025390625e+02 1.293674194335937500e+03 3.575771789550781250e+02 1.694911766052246094e+01 1.117987747192382812e+02 1.250924606323242188e+02 1.213313484191894531e+01 4.257716369628906250e+01 2.053599548339843750e+01
1.401655934751033783e-02 2.861493301391601562e+01 2.385133666992187500e+02 2.889453430175781250e+02 4.661692047119140625e+01 -3.437883300781250000e+02 2.617374877929687500e+02 1.271880984306335449e+00 8.050598144531250000e+01 8.894012451171875000e+01 1.573692202568054199e+00 -1.017405128479003906e+01 2.053599548339843750e+01
1.969251595437526703e-02 3.600736618041992188e+01 3.149469604492187500e+02 3.884596557617187500e+02 2.516704101562500000e+02 2.213081207275390625e+02 3.482410278320312500e+02 2.947069931030273438e+01 1.040740585327148438e+02 1.157981567382812500e+02 1.136493301391601562e+01 7.327075481414794922e+00 2.053599548339843750e+01
2.551339380443096161e-02 3.130062484741210938e+01 2.644951782226562500e+02 3.252073364257812500e+02 1.899956054687500000e+02 -2.897591400146484375e+01 2.921348266601562500e+02 2.307900810241699219e+01 8.840668487548828125e+01 9.813336944580078125e+01 8.294301033020019531e+00 -1.350158452987670898e+00 2.053599548339843750e+01
3.202908113598823547e-02 2.682059478759765625e+01 2.375565032958984375e+02 2.794770507812500000e+02 1.359998703002929688e+01 3.619378280639648438e+01 2.567434082031250000e+02 -6.130752563476562500e+00 7.740817260742187500e+01 8.410216522216796875e+01 -1.823147654533386230e+00 8.558286428451538086e-01 2.053599548339843750e+01
3.846523538231849670e-02 2.114333343505859375e+01 1.862654724121093750e+02 2.242434844970703125e+02 6.244720077514648438e+01 -4.681569671630859375e+01 2.034411163330078125e+02 4.234778881072998047e+00 6.037233352661132812e+01 6.640618133544921875e+01 1.659787297248840332e+00 -1.683783888816833496e+00 2.053599548339843750e+01
4.443310573697090149e-02 2.052022171020507812e+01 1.786417083740234375e+02 2.128628692626953125e+02 4.290766525268554688e+01 -2.170533418655395508e+00 1.940190582275390625e+02 6.573410630226135254e-01 5.781731796264648438e+01 6.324686431884765625e+01 2.332564592361450195e-01 9.029045701026916504e-02 2.053599548339843750e+01
5.042308941483497620e-02 1.808188629150390625e+01 1.660058898925781250e+02 1.961806030273437500e+02 7.020483398437500000e+01 2.950247383117675781e+01 1.796024932861328125e+02 6.756885051727294922e+00 5.203321456909179688e+01 5.664015960693359375e+01 2.028823137283325195e+00 5.619588494300842285e-01 2.053599548339843750e+01
5.690929666161537170e-02 1.645519065856933594e+01 1.535397033691406250e+02 1.815966491699218750e+02 4.275909423828125000e+01 -1.359805583953857422e+01 1.660492401123046875e+02 2.212709665298461914e+00 4.769228363037109375e+01 5.182355499267578125e+01 6.430343389511108398e-01 -3.392570316791534424e-01 2.053599548339843750e+01
6.341847032308578491e-02 1.545441818237304688e+01 1.352850799560546875e+02 1.613238220214843750e+02 5.121145629882812500e+01 2.518048095703125000e+01 1.466480407714843750e+02 3.717129945755004883e+00 4.293345260620117188e+01 4.700514984130859375e+01 1.659134507179260254e+00 5.809479355812072754e-01 2.053599548339843750e+01
6.949992477893829346e-02 1.473909282684326172e+01 1.343389282226562500e+02 1.606607666015625000e+02 6.120372390747070312e+01 1.643564414978027344e+01 1.457738800048828125e+02 5.568315982818603516e+00 4.177015686035156250e+01 4.564654159545898438e+01 2.170693397521972656e+00 4.656995534896850586e-01 2.053599548339843750e+01
7.558133453130722046e-02 1.290892410278320312e+01 1.226259460449218750e+02 1.449435119628906250e+02 4.547922134399414062e+01 -1.781911087036132812e+01 1.322181243896484375e+02 3.791077136993408203e+00 3.715750503540039062e+01 4.032145309448242188e+01 1.215270876884460449e+00 -6.559776067733764648e-01 2.053599548339843750e+01
8.196274191141128540e-02 1.216324520111083984e+01 1.153425979614257812e+02 1.368519897460937500e+02 3.684607696533203125e+01 -9.610193252563476562e+00 1.244042587280273438e+02 2.278523921966552734e+00 3.490723800659179688e+01 3.792441940307617188e+01 8.062961101531982422e-01 -3.014748990535736084e-01 2.053599548339843750e+01
8.830232173204421997e-02 1.100726032257080078e+01 1.075601959228515625e+02 1.284671630859375000e+02 5.752368927001953125e+01 1.146111869812011719e+01 1.161802062988281250e+02 6.087676048278808594e+00 3.178787231445312500e+01 3.468348312377929688e+01 2.122088193893432617e+00 6.746831536293029785e-02 2.053599548339843750e+01
9.435217082500457764e-02 9.288070678710937500e+00 9.348172760009765625e+01 1.100198745727539062e+02 3.524634170532226562e+01 6.427049636840820312e+00 1.000139846801757812e+02 2.702849388122558594e+00 2.694338226318359375e+01 2.913553237915039062e+01 9.257744550704956055e-01 1.324900537729263306e-01 2.053599548339843750e+01
1.005600690841674805e-01 8.224514961242675781e+00 8.402071380615234375e+01 9.948041534423828125e+01 3.001641464233398438e+01 -8.588669776916503906e+00 8.998229217529296875e+01 1.887829661369323730e+00 2.376018333435058594e+01 2.564597892761230469e+01 6.738945245742797852e-01 -2.085012197494506836e-01 2.053599548339843750e+01
1.070138886570930481e-01 7.713929176330566406e+00 8.065276336669921875e+01 9.577992248535156250e+01 2.489485931396484375e+01 1.176156282424926758e+00 8.639830017089843750e+01 1.117787957191467285e+00 2.231519508361816406e+01 2.411374282836914062e+01 2.366069555282592773e-01 1.207859516143798828e-01 2.053599548339843750e+01
1.134273484349250793e-01 7.236097812652587891e+00 7.812741851806640625e+01 9.047210693359375000e+01 2.096107673645019531e+01 1.382148456573486328e+01 8.248558044433593750e+01 6.708292961120605469e-01 2.125552940368652344e+01 2.272452735900878906e+01 3.546641767024993896e-01 3.949488401412963867e-01 2.053599548339843750e+01
