# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 179
8.018244989216327667e-03 3.377741622924804688e+01 2.607627258300781250e+02 2.928026733398437500e+02 -1.958521728515625000e+02 6.918883056640625000e+02 2.752204895019531250e+02 -4.900745773315429688e+01 9.153420257568359375e+01 9.699878692626953125e+01 -1.791207122802734375e+01 2.284046554565429688e+01 1.974222755432128906e+01
1.401655934751033783e-02 4.508712387084960938e+01 3.226173095703125000e+02 3.765459289550781250e+02 -8.767239379882812500e+01 2.235867156982421875e+02 3.473245849609375000e+02 -2.936454582214355469e+01 1.187694168090820312e+02 1.278303680419921875e+02 -1.275045490264892578e+01 1.021965980529785156e+01 1.974222755432128906e+01
1.969251595437526703e-02 3.861756515502929688e+01 2.850617370605468750e+02 3.643021545410156250e+02 3.915383911132812500e+02 3.679714660644531250e+02 3.207274169921875000e+02 5.316571426391601562e+01 1.025416183471679688e+02 1.155990142822265625e+02 1.792351150512695312e+01 1.083530521392822266e+01 1.974222755432128906e+01
2.551339380443096161e-02 3.421253585815429688e+01 2.701623840332031250e+02 3.174494018554687500e+02 -3.709051513671875000e+01 -6.597262573242187500e+01 2.919833679199218750e+02 -1.566092872619628906e+01 9.379866027832031250e+01 1.016092453002929688e+02 -6.260443687438964844e+00 -1.880157113075256348e+00 1.974222755432128906e+01
3.202908113598823547e-02 3.309416198730468750e+01 2.429874572753906250e+02 2.954711303710937500e+02 1.206162261962890625e+02 -3.001605606079101562e+01 2.669815368652343750e+02 1.255745410919189453e+01 8.700138854980468750e+01 9.608839416503906250e+01 4.622845172882080078e+00 -1.759201765060424805e+00 1.974222755432128906e+01
3.846523538231849670e-02 2.602286529541015625e+01 2.151936340332031250e+02 2.508434753417968750e+02 -3.343697357177734375e+01 1.151637554168701172e+01 2.314977416992187500e+02 -1.356099605560302734e+01 7.231098175048828125e+01 7.819538116455078125e+01 -4.547834873199462891e+00 7.674312591552734375e-01 1.974222755432128906e+01
4.443310573697090149e-02 2.145187377929687500e+01 1.724751586914062500e+02 2.051399383544921875e+02 3.996597671508789062e+01 -7.924047851562500000e+01 1.872965393066406250e+02 1.513190388679504395e+00 5.789492797851562500e+01 6.321057510375976562e+01 1.517855823040008545e-01 -2.616825103759765625e+00 1.974222755432128906e+01
5.042308941483497620e-02 2.211437606811523438e+01 1.772479248046875000e+02 2.133770294189453125e+02 9.706188201904296875e+01 5.060391235351562500e+01 1.934937896728515625e+02 1.025507164001464844e+01 5.995323944091796875e+01 6.584555816650390625e+01 3.806897640228271484e+00 2.031443357467651367e+00 1.974222755432128906e+01
5.690929666161537170e-02 1.901880264282226562e+01 1.598294372558593750e+02 1.939022369384765625e+02 8.679920959472656250e+01 -2.508543968200683594e+01 1.750620880126953125e+02 9.319635391235351562e+00 5.265680313110351562e+01 5.801448440551757812e+01 3.340873003005981445e+00 -8.763158917427062988e-01 1.974222755432128906e+01
6.341847032308578491e-02 1.729286003112792969e+01 1.427271728515625000e+02 1.708727722167968750e+02 6.766323852539062500e+01 3.550931549072265625e+01 1.552129669189453125e+02 6.834021091461181641e+00 4.734957504272460938e+01 5.175564575195312500e+01 1.987462043762207031e+00 1.115870594978332520e+00 1.974222755432128906e+01
6.949992477893829346e-02 1.587917041778564453e+01 1.380624389648437500e+02 1.630885314941406250e+02 2.181651496887207031e+01 1.372917842864990234e+01 1.490461273193359375e+02 -1.317254781723022461e+00 4.430759048461914062e+01 4.802020645141601562e+01 -5.810310840606689453e-01 5.435055494308471680e-01 1.974222755432128906e+01
