# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 178
8.018244989216327667e-03 4.415388870239257812e+01 3.612189025878906250e+02 4.273568420410156250e+02 1.529091644287109375e+01 -4.454131164550781250e+02 3.920379638671875000e+02 -6.667057991027832031e+00 1.243177108764648438e+02 1.344055023193359375e+02 -6.317724227905273438e+00 -9.774857521057128906e+00 1.984621810913085938e+01
1.401655934751033783e-02 4.039863967895507812e+01 3.283229675292968750e+02 3.772436828613281250e+02 -2.147904510498046875e+02 -1.091395416259765625e+02 3.508179016113281250e+02 -4.972078323364257812e+01 1.120607070922851562e+02 1.208290710449218750e+02 -1.451148986816406250e+01 -2.527509689331054688e+00 1.984621810913085938e+01
1.969251595437526703e-02 2.893462562561035156e+01 2.366682281494140625e+02 2.916285400390625000e+02 1.578417053222656250e+02 5.252492904663085938e+01 2.615804748535156250e+02 1.753923416137695312e+01 7.932353210449218750e+01 8.868852996826171875e+01 8.200214385986328125e+00 1.170731663703918457e+00 1.984621810913085938e+01
2.551339380443096161e-02 3.844122314453125000e+01 2.745816345214843750e+02 3.300456542968750000e+02 2.482422256469726562e+01 9.294770050048828125e+01 2.997727355957031250e+02 -7.632143020629882812e+00 1.005463180541992188e+02 1.102732086181640625e+02 -2.523871660232543945e+00 3.077192544937133789e+00 1.984621810913085938e+01
3.202908113598823547e-02 3.512764739990234375e+01 2.664486999511718750e+02 3.340491638183593750e+02 2.449356384277343750e+02 3.927666473388671875e+01 2.970026855468750000e+02 3.126106834411621094e+01 9.445510101318359375e+01 1.056251754760742188e+02 1.059215927124023438e+01 8.465403318405151367e-02 1.984621810913085938e+01
3.846523538231849670e-02 3.106464385986328125e+01 2.410145111083984375e+02 2.914162597656250000e+02 8.597404479980468750e+01 -5.853602886199951172e+00 2.638723754882812500e+02 5.740717887878417969e+00 8.408430480957031250e+01 9.255619049072265625e+01 1.942950963973999023e+00 -6.968200802803039551e-01 1.984621810913085938e+01
4.443310573697090149e-02 2.311122131347656250e+01 1.809610443115234375e+02 2.169620819091796875e+02 4.720384979248046875e+01 -2.376354026794433594e+01 1.972429809570312500e+02 1.696359515190124512e+00 6.213320922851562500e+01 6.797210693359375000e+01 2.503829300403594971e-01 -3.728150427341461182e-01 1.984621810913085938e+01
5.042308941483497620e-02 2.237198829650878906e+01 1.768074035644531250e+02 2.139917907714843750e+02 8.753647613525390625e+01 4.758253097534179688e+01 1.934031524658203125e+02 8.341544151306152344e+00 6.033484268188476562e+01 6.650323486328125000e+01 3.362464189529418945e+00 1.403339982032775879e+00 1.984621810913085938e+01
5.690929666161537170e-02 1.882642936706542969e+01 1.496367950439453125e+02 1.807913513183593750e+02 6.235935592651367188e+01 -1.373216533660888672e+01 1.634942016601562500e+02 5.491066932678222656e+00 5.050996017456054688e+01 5.549110031127929688e+01 1.579878449440002441e+00 -4.944506585597991943e-01 1.984621810913085938e+01
6.341847032308578491e-02 1.690706062316894531e+01 1.390969390869140625e+02 1.659221038818359375e+02 6.759149169921875000e+01 4.928779983520507812e+01 1.508051300048828125e+02 6.572040557861328125e+00 4.583777999877929688e+01 5.007605743408203125e+01 2.198874235153198242e+00 1.636564850807189941e+00 1.984621810913085938e+01
6.949992477893829346e-02 1.663210105895996094e+01 1.395379180908203125e+02 1.653024749755859375e+02 1.613043022155761719e+01 2.746324300765991211e+00 1.507225036621093750e+02 -2.551311969757080078e+00 4.558057022094726562e+01 4.961431121826171875e+01 -6.111183762550354004e-01 4.069317877292633057e-01 1.984621810913085938e+01
7.558133453130722046e-02 1.429478359222412109e+01 1.213132476806640625e+02 1.450796051025390625e+02 7.420067596435546875e+01 -2.327040284872055054e-01 1.315959320068359375e+02 8.953523635864257812e+00 3.908713150024414062e+01 4.268723678588867188e+01 2.928500413894653320e+00 -1.968002021312713623e-01 1.984621810913085938e+01
8.196274191141128540e-02 1.340131855010986328e+01 1.162256851196289062e+02 1.391878204345703125e+02 4.670783233642578125e+01 1.638590812683105469e+01 1.258697662353515625e+02 3.367637872695922852e+00 3.676965332031250000e+01 4.015431213378906250e+01 1.072251319885253906e+00 4.730237722396850586e-01 1.984621810913085938e+01
8.830232173204421997e-02 1.143388938903808594e+01 1.053314590454101562e+02 1.247337722778320312e+02 4.034246826171875000e+01 3.083209228515625000e+01 1.133185043334960938e+02 2.914874315261840820e+00 3.213611602783203125e+01 3.479837799072265625e+01 8.978905677795410156e-01 8.413264155387878418e-01 1.984621810913085938e+01
9.435217082500457764e-02 1.028133296966552734e+01 9.414677429199218750e+01 1.121357269287109375e+02 3.396830368041992188e+01 3.813555479049682617e+00 1.014066314697265625e+02 2.242222785949707031e+00 2.850736236572265625e+01 3.099787521362304688e+01 8.766137957572937012e-01 9.807429276406764984e-03 1.984621810913085938e+01
1.005600690841674805e-01 9.299994468688964844e+00 8.912911987304687500e+01 1.036328964233398438e+02 2.168992042541503906e+01 -8.938499689102172852e-01 9.470579528808593750e+01 5.210453271865844727e-01 2.629245185852050781e+01 2.819512176513671875e+01 2.113226801156997681e-01 -8.472531288862228394e-02 1.984621810913085938e+01
1.070138886570930481e-01 8.348926544189453125e+00 8.167771911621093750e+01 9.732459259033203125e+01 3.040877723693847656e+01 -1.868611812591552734e+00 8.749143218994140625e+01 1.781806945800781250e+00 2.360783576965332031e+01 2.558107376098632812e+01 7.249162793159484863e-01 -1.348573565483093262e-01 1.984621810913085938e+01
1.134273484349250793e-01 8.008203506469726562e+00 8.122629547119140625e+01 9.587992858886718750e+01 3.243769836425781250e+01 4.534927845001220703e+00 8.659633636474609375e+01 2.456675767898559570e+00 2.303854942321777344e+01 2.475050354003906250e+01 7.199253439903259277e-01 1.513810008764266968e-01 1.984621810913085938e+01
1.196089535951614380e-01 7.156687259674072266e+00 7.117340087890625000e+01 8.526240539550781250e+01 3.444093322753906250e+01 8.294578552246093750e+00 7.613705444335937500e+01 2.880718946456909180e+00 2.010442543029785156e+01 2.178033256530761719e+01 9.966116547584533691e-01 2.181273102760314941e-01 1.984621810913085938e+01
1.257804334163665771e-01 7.162734985351562500e+00 7.400028991699218750e+01 8.733158874511718750e+01 3.430393600463867188e+01 -5.379643440246582031e+00 7.854831695556640625e+01 2.953999042510986328e+00 2.062973213195800781e+01 2.213369178771972656e+01 8.188574910163879395e-01 -3.213639855384826660e-01 1.984621810913085938e+01
1.321490257978439331e-01 6.654863834381103516e+00 6.860801696777343750e+01 8.007019805908203125e+01 2.851080322265625000e+01 2.103925228118896484e+00 7.227805328369140625e+01 2.172722339630126953e+00 1.888143539428710938e+01 2.008151435852050781e+01 7.194656133651733398e-01 4.428136348724365234e-02 1.984621810913085938e+01
1.384563297033309937e-01 6.235460758209228516e+00 6.800273132324218750e+01 8.031958770751953125e+01 2.960098457336425781e+01 1.412961006164550781e+01 7.192304229736328125e+01 2.075285673141479492e+00 1.819720268249511719e+01 1.943006324768066406e+01 6.183276772499084473e-01 2.918853759765625000e-01 1.984621810913085938e+01
