# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 32
8.018244989216327667e-03 5.311633300781250000e+01 3.950289001464843750e+02 5.009606628417968750e+02 3.287008666992187500e+02 -9.782131958007812500e+02 4.439442443847656250e+02 4.921892166137695312e+01 1.432348632812500000e+02 1.611043243408203125e+02 1.758734512329101562e+01 -3.389058685302734375e+01 1.984631729125976562e+01
1.401655934751033783e-02 4.966278457641601562e+01 3.834892883300781250e+02 4.955647888183593750e+02 5.172172851562500000e+02 -3.943542175292968750e+02 4.344670715332031250e+02 7.649536132812500000e+01 1.360388031005859375e+02 1.548055419921875000e+02 2.873672676086425781e+01 -1.438632678985595703e+01 1.984631729125976562e+01
1.969251595437526703e-02 5.690495681762695312e+01 3.985179443359375000e+02 4.815707702636718750e+02 1.084504470825195312e+02 6.534235229492187500e+02 4.359064941406250000e+02 -2.679885149002075195e+00 1.473911285400390625e+02 1.621115417480468750e+02 2.402400523424148560e-01 2.267916107177734375e+01 1.984631729125976562e+01
2.551339380443096161e-02 4.206689834594726562e+01 3.273276367187500000e+02 4.102383728027343750e+02 3.397290649414062500e+02 3.583348999023437500e+02 3.645806579589843750e+02 4.229224395751953125e+01 1.148109130859375000e+02 1.285980682373046875e+02 1.623257827758789062e+01 1.138195896148681641e+01 1.984631729125976562e+01
3.202908113598823547e-02 3.156971549987792969e+01 2.523099975585937500e+02 3.155849609375000000e+02 2.555669555664062500e+02 -1.403674316406250000e+02 2.810154724121093750e+02 3.591960525512695312e+01 8.687068939208984375e+01 9.719262695312500000e+01 1.252607727050781250e+01 -5.079376697540283203e+00 1.984631729125976562e+01
3.846523538231849670e-02 2.540296363830566406e+01 1.946416625976562500e+02 2.391231994628906250e+02 1.348068237304687500e+02 3.401322937011718750e+01 2.144641113281250000e+02 1.505827999114990234e+01 6.757653045654296875e+01 7.504418182373046875e+01 5.698739051818847656e+00 1.498855352401733398e+00 1.984631729125976562e+01
4.443310573697090149e-02 2.469720077514648438e+01 1.964448547363281250e+02 2.436002502441406250e+02 1.540111236572265625e+02 4.899698638916015625e+01 2.174304962158203125e+02 1.826110267639160156e+01 6.714711761474609375e+01 7.466067504882812500e+01 6.376653194427490234e+00 1.302796006202697754e+00 1.984631729125976562e+01
5.042308941483497620e-02 2.142597198486328125e+01 1.722265930175781250e+02 2.072864685058593750e+02 7.722760772705078125e+01 4.096710586547851562e+01 1.877191925048828125e+02 6.976266860961914062e+00 5.822136688232421875e+01 6.393415451049804688e+01 2.475875616073608398e+00 1.278358936309814453e+00 1.984631729125976562e+01
5.690929666161537170e-02 1.885522079467773438e+01 1.579064331054687500e+02 1.872684631347656250e+02 3.659349822998046875e+01 -4.427757263183593750e+01 1.707753753662109375e+02 8.302533030509948730e-01 5.193237686157226562e+01 5.658505249023437500e+01 5.442700386047363281e-01 -1.190883874893188477e+00 1.984631729125976562e+01
6.341847032308578491e-02 1.814957237243652344e+01 1.482886962890625000e+02 1.798661193847656250e+02 8.094252014160156250e+01 3.817211151123046875e+01 1.619511260986328125e+02 7.925423145294189453e+00 4.928479003906250000e+01 5.401368331909179688e+01 2.653703689575195312e+00 5.359492897987365723e-01 1.984631729125976562e+01
6.949992477893829346e-02 1.598889541625976562e+01 1.342169036865234375e+02 1.621730346679687500e+02 5.969941711425781250e+01 3.056817817687988281e+01 1.460470886230468750e+02 4.712407112121582031e+00 4.355959701538085938e+01 4.774057006835937500e+01 1.682532906532287598e+00 1.127829432487487793e+00 1.984631729125976562e+01
7.558133453130722046e-02 1.441738796234130859e+01 1.256927642822265625e+02 1.496005859375000000e+02 5.084279632568359375e+01 -1.381886386871337891e+01 1.357077026367187500e+02 4.173535346984863281e+00 3.990770339965820312e+01 4.339831161499023438e+01 1.683856129646301270e+00 -3.180684447288513184e-01 1.984631729125976562e+01
8.196274191141128540e-02 1.350200366973876953e+01 1.174661331176757812e+02 1.389209594726562500e+02 5.003715515136718750e+01 -1.093777561187744141e+01 1.262870330810546875e+02 4.714429378509521484e+00 3.731529998779296875e+01 4.032204055786132812e+01 1.444707036018371582e+00 -2.119950652122497559e-01 1.984631729125976562e+01
8.830232173204421997e-02 1.164011669158935547e+01 1.055076141357421875e+02 1.265534744262695312e+02 4.833042526245117188e+01 1.610536003112792969e+01 1.139276046752929688e+02 3.768104076385498047e+00 3.252210617065429688e+01 3.542710113525390625e+01 1.396188139915466309e+00 2.860220074653625488e-01 1.984631729125976562e+01
9.435217082500457764e-02 1.048848915100097656e+01 9.743380737304687500e+01 1.142234954833984375e+02 2.303936004638671875e+01 9.416090965270996094e+00 1.038866424560546875e+02 2.792322933673858643e-01 2.944432830810546875e+01 3.163613891601562500e+01 1.484304517507553101e-01 1.214280873537063599e-01 1.984631729125976562e+01
1.005600690841674805e-01 9.266591072082519531e+00 8.789601135253906250e+01 1.037433013916015625e+02 2.899453926086425781e+01 -9.749306678771972656e+00 9.377480316162109375e+01 1.672703385353088379e+00 2.597948837280273438e+01 2.799548721313476562e+01 5.731150507926940918e-01 -1.706792563199996948e-01 1.984631729125976562e+01
