# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 133
8.018244989216327667e-03 4.635893630981445312e+01 3.678388977050781250e+02 4.231169128417968750e+02 -2.127718658447265625e+02 2.884096374511718750e+02 3.928399047851562500e+02 -5.506572723388671875e+01 1.285067138671875000e+02 1.379451904296875000e+02 -1.829754638671875000e+01 1.541186237335205078e+01 2.061580848693847656e+01
1.401655934751033783e-02 3.907876586914062500e+01 3.116704711914062500e+02 3.882155761718750000e+02 3.280397338867187500e+02 6.587878417968750000e+02 3.460603637695312500e+02 3.941017150878906250e+01 1.075780410766601562e+02 1.199700698852539062e+02 1.373897933959960938e+01 2.073362350463867188e+01 2.061580848693847656e+01
1.969251595437526703e-02 4.159741973876953125e+01 3.348894348144531250e+02 4.031367797851562500e+02 6.964213562011718750e+01 -2.659758377075195312e+01 3.662046508789062500e+02 -4.541575163602828979e-02 1.153725662231445312e+02 1.265734329223632812e+02 -3.619650602340698242e-01 -1.186806201934814453e+00 2.061580848693847656e+01
2.551339380443096161e-02 3.570255661010742188e+01 2.896500549316406250e+02 3.478396301269531250e+02 7.745426177978515625e+01 5.248967361450195312e+01 3.161597290039062500e+02 2.014172077178955078e+00 9.901972198486328125e+01 1.086690139770507812e+02 9.751612544059753418e-01 2.332979679107666016e+00 2.061580848693847656e+01
3.202908113598823547e-02 2.945533752441406250e+01 2.428642272949218750e+02 2.907340393066406250e+02 6.902600097656250000e+01 7.222760772705078125e+01 2.646379699707031250e+02 2.532195806503295898e+00 8.203100585937500000e+01 8.980358123779296875e+01 4.311034083366394043e-01 2.002810955047607422e+00 2.061580848693847656e+01
3.846523538231849670e-02 2.506509017944335938e+01 2.096513366699218750e+02 2.545508422851562500e+02 8.554817962646484375e+01 -7.987683868408203125e+01 2.300123138427734375e+02 7.335495471954345703e+00 6.996829223632812500e+01 7.721713256835937500e+01 3.158947467803955078e+00 -2.583551645278930664e+00 2.061580848693847656e+01
4.443310573697090149e-02 2.057109451293945312e+01 1.836293334960937500e+02 2.182060241699218750e+02 7.648101043701171875e+01 -6.364881896972656250e+01 1.992756347656250000e+02 7.843517303466796875e+00 5.885271835327148438e+01 6.427397918701171875e+01 2.454606533050537109e+00 -1.968388199806213379e+00 2.061580848693847656e+01
5.042308941483497620e-02 1.654323768615722656e+01 1.472028198242187500e+02 1.760107116699218750e+02 4.897697067260742188e+01 1.568163013458251953e+01 1.599860687255859375e+02 2.674668788909912109e+00 4.701029205322265625e+01 5.140590667724609375e+01 7.874547839164733887e-01 7.466766238212585449e-01 2.061580848693847656e+01
5.690929666161537170e-02 1.579623699188232422e+01 1.415659637451171875e+02 1.669008026123046875e+02 2.310562896728515625e+01 -3.031754112243652344e+01 1.528283233642578125e+02 -6.574769020080566406e-01 4.466883850097656250e+01 4.861869430541992188e+01 -5.942235141992568970e-02 -9.844258427619934082e-01 2.061580848693847656e+01
6.341847032308578491e-02 1.443106555938720703e+01 1.324569854736328125e+02 1.581867218017578125e+02 6.236104965209960938e+01 1.210829353332519531e+01 1.437697448730468750e+02 6.249545574188232422e+00 4.108501434326171875e+01 4.499982452392578125e+01 2.263982295989990234e+00 3.397149443626403809e-01 2.061580848693847656e+01
