# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 182
8.018244989216327667e-03 3.802660369873046875e+01 1.710237579345703125e+02 2.298070678710937500e+02 2.668193359375000000e+02 1.216054534912109375e+02 1.970870819091796875e+02 3.552183532714843750e+01 7.819682312011718750e+01 9.087831115722656250e+01 1.854891204833984375e+01 4.989071846008300781e+00 1.300263786315917969e+01
1.401655934751033783e-02 7.075194549560546875e+01 2.842615966796875000e+02 3.655041198730468750e+02 1.913908233642578125e+02 -1.964547424316406250e+02 3.209465637207031250e+02 2.115814590454101562e+01 1.398320465087890625e+02 1.582900085449218750e+02 9.959850311279296875e+00 -1.098350524902343750e+01 1.300263786315917969e+01
1.969251595437526703e-02 7.584787750244140625e+01 3.014075622558593750e+02 3.989568786621093750e+02 3.928109436035156250e+02 2.143464050292968750e+02 3.449379882812500000e+02 5.098992156982421875e+01 1.492057037353515625e+02 1.710529479980468750e+02 2.397022247314453125e+01 7.181651592254638672e+00 1.300263786315917969e+01
2.551339380443096161e-02 6.306380081176757812e+01 2.515075378417968750e+02 3.220395812988281250e+02 1.688243103027343750e+02 7.947829437255859375e+01 2.827964172363281250e+02 1.496395587921142578e+01 1.236036376953125000e+02 1.398330535888671875e+02 9.072225570678710938e+00 3.793900012969970703e+00 1.300263786315917969e+01
3.202908113598823547e-02 4.361257553100585938e+01 1.862785491943359375e+02 2.370946350097656250e+02 1.524012145996093750e+02 7.946331024169921875e+01 2.089341735839843750e+02 1.697170829772949219e+01 8.777547454833984375e+01 9.881096649169921875e+01 7.642837047576904297e+00 2.914185047149658203e+00 1.300263786315917969e+01
3.846523538231849670e-02 3.706382751464843750e+01 1.521339416503906250e+02 1.889906616210937500e+02 6.468199157714843750e+01 9.771966934204101562e+00 1.685327758789062500e+02 4.269974708557128906e+00 7.304159545898437500e+01 8.145389556884765625e+01 2.367431640625000000e+00 5.730122923851013184e-01 1.300263786315917969e+01
4.443310573697090149e-02 3.330996322631835938e+01 1.378067169189453125e+02 1.761036224365234375e+02 1.099107131958007812e+02 -3.085020184516906738e-01 1.546435699462890625e+02 1.239704322814941406e+01 6.559473419189453125e+01 7.429776763916015625e+01 6.692113399505615234e+00 -7.955712676048278809e-01 1.300263786315917969e+01
5.042308941483497620e-02 2.993938827514648438e+01 1.292914123535156250e+02 1.613580017089843750e+02 5.472091293334960938e+01 3.389574050903320312e+01 1.432260284423828125e+02 2.744513988494873047e+00 5.985302734375000000e+01 6.678322601318359375e+01 1.642907857894897461e+00 1.554922342300415039e+00 1.300263786315917969e+01
5.690929666161537170e-02 2.772255325317382812e+01 1.221556625366210938e+02 1.503737945556640625e+02 3.863215255737304688e+01 -4.526298141479492188e+01 1.345249176025390625e+02 1.937516093254089355e+00 5.593264007568359375e+01 6.201033782958984375e+01 7.917215824127197266e-01 -2.107789039611816406e+00 1.300263786315917969e+01
6.341847032308578491e-02 2.514692115783691406e+01 1.062309188842773438e+02 1.338324890136718750e+02 7.536338043212890625e+01 3.306678009033203125e+01 1.180482254028320312e+02 7.655872821807861328e+00 4.944060897827148438e+01 5.538275146484375000e+01 3.880158424377441406e+00 9.414657354354858398e-01 1.300263786315917969e+01
6.949992477893829346e-02 2.389667129516601562e+01 1.072605438232421875e+02 1.315138397216796875e+02 3.458255386352539062e+01 1.111948776245117188e+01 1.175349502563476562e+02 9.718301296234130859e-01 4.841207504272460938e+01 5.345500946044921875e+01 6.316548585891723633e-01 2.008406072854995728e-01 1.300263786315917969e+01
7.558133453130722046e-02 2.255949211120605469e+01 9.943618774414062500e+01 1.215596618652343750e+02 4.505464935302734375e+01 1.170336723327636719e+01 1.087289199829101562e+02 3.403772354125976562e+00 4.519525527954101562e+01 4.986812210083007812e+01 1.624029636383056641e+00 3.050126135349273682e-01 1.300263786315917969e+01
8.196274191141128540e-02 1.951222038269042969e+01 8.899551391601562500e+01 1.080675125122070312e+02 4.361174392700195312e+01 9.587006568908691406e+00 9.674214172363281250e+01 3.611271142959594727e+00 3.950774765014648438e+01 4.327447509765625000e+01 1.715248227119445801e+00 2.324157059192657471e-01 1.300263786315917969e+01
8.830232173204421997e-02 1.817797660827636719e+01 8.417356109619140625e+01 1.028052062988281250e+02 3.554573440551757812e+01 2.223964482545852661e-01 9.165920257568359375e+01 2.428772926330566406e+00 3.698405075073242188e+01 4.057498168945312500e+01 1.112082958221435547e+00 -7.175088394433259964e-03 1.300263786315917969e+01
9.435217082500457764e-02 1.581697368621826172e+01 7.393294525146484375e+01 8.950209045410156250e+01 3.101547241210937500e+01 7.569461345672607422e+00 8.006322479248046875e+01 2.150189638137817383e+00 3.203821182250976562e+01 3.507233810424804688e+01 1.048963427543640137e+00 2.957961894571781158e-02 1.300263786315917969e+01
1.005600690841674805e-01 1.377214241027832031e+01 6.488729095458984375e+01 8.037857055664062500e+01 2.866415786743164062e+01 1.019265079498291016e+01 7.077497863769531250e+01 1.540211915969848633e+00 2.768410873413085938e+01 3.066621780395507812e+01 8.414040207862854004e-01 2.780748307704925537e-01 1.300263786315917969e+01
1.070138886570930481e-01 1.217606830596923828e+01 6.025493240356445312e+01 7.452580261230468750e+01 2.713423919677734375e+01 3.142436742782592773e+00 6.552187347412109375e+01 1.639392256736755371e+00 2.489910507202148438e+01 2.743573379516601562e+01 9.711613059043884277e-01 3.874054923653602600e-02 1.300263786315917969e+01
1.134273484349250793e-01 1.144534397125244141e+01 5.558024978637695312e+01 6.803636169433593750e+01 3.045068359375000000e+01 1.220365142822265625e+01 5.981388854980468750e+01 2.197000026702880859e+00 2.310905265808105469e+01 2.526902770996093750e+01 1.181256771087646484e+00 2.353765815496444702e-01 1.300263786315917969e+01
1.196089535951614380e-01 1.091333293914794922e+01 5.323280334472656250e+01 6.573421478271484375e+01 2.993670654296875000e+01 6.139558792114257812e+00 5.744321441650390625e+01 2.210437536239624023e+00 2.199989891052246094e+01 2.411447906494140625e+01 1.032606363296508789e+00 1.760536730289459229e-01 1.300263786315917969e+01
1.257804334163665771e-01 1.056734657287597656e+01 5.254079437255859375e+01 6.351374435424804688e+01 2.226619148254394531e+01 -3.302366256713867188e+00 5.606076431274414062e+01 1.352591037750244141e+00 2.145901870727539062e+01 2.319770050048828125e+01 5.104574561119079590e-01 -8.903060853481292725e-02 1.300263786315917969e+01
1.321490257978439331e-01 9.809244155883789062e+00 5.040718460083007812e+01 6.108022689819335938e+01 2.298179435729980469e+01 -3.345345735549926758e+00 5.363551712036132812e+01 1.318047404289245605e+00 2.014223098754882812e+01 2.174933052062988281e+01 5.874385237693786621e-01 -1.504032760858535767e-01 1.300263786315917969e+01
1.384563297033309937e-01 9.444988250732421875e+00 4.884560012817382812e+01 5.875577926635742188e+01 2.217230033874511719e+01 1.065654277801513672e+01 5.169617080688476562e+01 1.231653094291687012e+00 1.950591087341308594e+01 2.093107986450195312e+01 5.756492018699645996e-01 4.503764212131500244e-01 1.300263786315917969e+01
1.446497291326522827e-01 8.688149452209472656e+00 4.668691253662109375e+01 5.632323837280273438e+01 2.047425079345703125e+01 5.679322242736816406e+00 4.935250473022460938e+01 9.858123660087585449e-01 1.807482719421386719e+01 1.938294410705566406e+01 5.566588640213012695e-01 9.998776018619537354e-02 1.300263786315917969e+01
1.508535146713256836e-01 8.189190864562988281e+00 4.389743423461914062e+01 5.228651809692382812e+01 1.707347106933593750e+01 5.695360302925109863e-01 4.595389938354492188e+01 6.120998263359069824e-01 1.697719383239746094e+01 1.811070060729980469e+01 3.409046530723571777e-01 -1.317173521965742111e-02 1.300263786315917969e+01
1.571729034185409546e-01 7.621427059173583984e+00 4.289552688598632812e+01 5.104938888549804688e+01 2.056758308410644531e+01 5.791183948516845703e+00 4.467565917968750000e+01 1.216209650039672852e+00 1.606146430969238281e+01 1.707765579223632812e+01 6.275643706321716309e-01 1.567756980657577515e-01 1.300263786315917969e+01
1.635417938232421875e-01 7.008538246154785156e+00 3.915391540527343750e+01 4.695055389404296875e+01 1.792501068115234375e+01 4.796944141387939453e+00 4.073955917358398438e+01 7.561720609664916992e-01 1.458983135223388672e+01 1.546309280395507812e+01 4.383061826229095459e-01 1.408529132604598999e-01 1.300263786315917969e+01
1.698256134986877441e-01 6.647197246551513672e+00 3.786827850341796875e+01 4.568165206909179688e+01 1.556212806701660156e+01 5.900245666503906250e+00 3.941632080078125000e+01 3.519099354743957520e-01 1.392502307891845703e+01 1.479162025451660156e+01 2.548590898513793945e-01 1.324524581432342529e-01 1.300263786315917969e+01
1.761013567447662354e-01 6.367636680603027344e+00 3.757255172729492188e+01 4.482188034057617188e+01 1.546727848052978516e+01 4.248013973236083984e+00 3.876278305053710938e+01 3.716760575771331787e-01 1.346686458587646484e+01 1.422080898284912109e+01 1.889180392026901245e-01 1.117883697152137756e-01 1.300263786315917969e+01
1.823998540639877319e-01 5.866272449493408203e+00 3.451916503906250000e+01 4.137918853759765625e+01 1.476335525512695312e+01 4.039724826812744141e+00 3.540563583374023438e+01 2.263772338628768921e-01 1.228484153747558594e+01 1.290381145477294922e+01 1.944645792245864868e-01 8.784446865320205688e-02 1.300263786315917969e+01
1.886507123708724976e-01 5.819113731384277344e+00 3.469692993164062500e+01 4.126377487182617188e+01 1.524305152893066406e+01 1.754075527191162109e+00 3.540784072875976562e+01 4.383125007152557373e-01 1.221414089202880859e+01 1.269257450103759766e+01 2.809953689575195312e-01 1.282169250771403313e-03 1.300263786315917969e+01
1.949081569910049438e-01 5.577217102050781250e+00 3.366220092773437500e+01 3.919881057739257812e+01 1.174837589263916016e+01 2.560793399810791016e+00 3.381106185913085938e+01 3.891660645604133606e-02 1.177453899383544922e+01 1.210630130767822266e+01 1.549501717090606689e-01 3.118312358856201172e-02 1.300263786315917969e+01
2.011425346136093140e-01 5.325299263000488281e+00 3.271866226196289062e+01 3.868562316894531250e+01 1.002914142608642578e+01 2.878283739089965820e+00 3.300389480590820312e+01 -4.669060111045837402e-01 1.127867507934570312e+01 1.164194679260253906e+01 -6.376683712005615234e-02 3.704075887799263000e-02 1.300263786315917969e+01
2.073954045772552490e-01 5.084891319274902344e+00 3.170063018798828125e+01 3.711866760253906250e+01 1.134668731689453125e+01 2.437776088714599609e+00 3.165977668762207031e+01 -1.095772311091423035e-01 1.080827140808105469e+01 1.106963634490966797e+01 5.945177376270294189e-02 3.743137046694755554e-02 1.300263786315917969e+01
2.137389332056045532e-01 4.888267993927001953e+00 3.099341201782226562e+01 3.652653503417968750e+01 1.235870742797851562e+01 5.031183719635009766e+00 3.100086784362792969e+01 4.160613566637039185e-02 1.046186637878417969e+01 1.068238925933837891e+01 1.159198656678199768e-01 1.358059793710708618e-01 1.300263786315917969e+01
2.200330942869186401e-01 4.571671962738037109e+00 2.972433280944824219e+01 3.503001403808593750e+01 1.162125396728515625e+01 4.094787240028381348e-01 2.944893074035644531e+01 -1.087021306157112122e-01 9.774478912353515625e+00 9.951486587524414062e+00 3.703232109546661377e-02 -1.771369948983192444e-02 1.300263786315917969e+01
2.262930423021316528e-01 4.404940605163574219e+00 2.929841995239257812e+01 3.442055511474609375e+01 1.200526523590087891e+01 3.166558742523193359e+00 2.884443283081054688e+01 -1.165732219815254211e-01 9.460624694824218750e+00 9.564819335937500000e+00 7.825823873281478882e-02 6.006531417369842529e-02 1.300263786315917969e+01
2.325985133647918701e-01 4.244221687316894531e+00 2.829687881469726562e+01 3.340208053588867188e+01 1.011900901794433594e+01 3.699271917343139648e+00 2.778722953796386719e+01 -4.507390856742858887e-01 9.145262718200683594e+00 9.224238395690917969e+00 -7.763449102640151978e-02 8.352521806955337524e-02 1.300263786315917969e+01
2.388891130685806274e-01 4.125480651855468750e+00 2.769682312011718750e+01 3.257197189331054688e+01 1.187811946868896484e+01 2.378118038177490234e+00 2.695723533630371094e+01 -6.301868706941604614e-02 8.835963249206542969e+00 8.844680786132812500e+00 8.503309637308120728e-02 5.683135986328125000e-02 1.300263786315917969e+01
2.451218813657760620e-01 3.963937759399414062e+00 2.714358711242675781e+01 3.180205917358398438e+01 1.007918643951416016e+01 1.982710003852844238e+00 2.622585296630859375e+01 -3.872184753417968750e-01 8.522906303405761719e+00 8.440018653869628906e+00 -4.586966335773468018e-02 1.275133620947599411e-02 1.300263786315917969e+01
2.513737380504608154e-01 3.878003835678100586e+00 2.664403915405273438e+01 3.117546844482421875e+01 1.046630954742431641e+01 3.321194410324096680e+00 2.552311897277832031e+01 -3.755491375923156738e-01 8.294475555419921875e+00 8.192511558532714844e+00 -1.799469627439975739e-02 5.272231251001358032e-02 1.300263786315917969e+01
2.577070593833923340e-01 3.703230619430541992e+00 2.618598747253417969e+01 3.076078414916992188e+01 1.023514366149902344e+01 3.012415170669555664e+00 2.501781082153320312e+01 -4.973265528678894043e-01 8.032555580139160156e+00 7.898464679718017578e+00 -5.213080346584320068e-02 4.114072024822235107e-02 1.300263786315917969e+01
2.640204429626464844e-01 3.686100721359252930e+00 2.634950256347656250e+01 3.025992012023925781e+01 8.632407188415527344e+00 2.519332647323608398e+00 2.479754829406738281e+01 -6.070411801338195801e-01 8.028054237365722656e+00 7.788123130798339844e+00 -8.013037592172622681e-02 3.306286036968231201e-02 1.300263786315917969e+01
2.702898085117340088e-01 3.488101959228515625e+00 2.522777175903320312e+01 2.915782356262207031e+01 8.411593437194824219e+00 1.063222527503967285e+00 2.362067604064941406e+01 -6.486169695854187012e-01 7.577227592468261719e+00 7.298091411590576172e+00 -1.060931459069252014e-01 1.370817422866821289e-02 1.300263786315917969e+01
2.765615284442901611e-01 3.404697179794311523e+00 2.482177352905273438e+01 2.818100547790527344e+01 8.411512374877929688e+00 3.358483314514160156e+00 2.296932983398437500e+01 -5.475075840950012207e-01 7.395795822143554688e+00 7.050957679748535156e+00 -9.748031198978424072e-02 9.009926766157150269e-02 1.300263786315917969e+01
