# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 118
8.018244989216327667e-03 2.808697509765625000e+01 1.122045593261718750e+02 1.454723205566406250e+02 6.831326293945312500e+01 -1.326209564208984375e+02 1.269436340332031250e+02 6.629501819610595703e+00 5.274264144897460938e+01 6.121597290039062500e+01 6.691337108612060547e+00 -6.355528354644775391e+00 1.290238952636718750e+01
1.401655934751033783e-02 7.526678466796875000e+01 2.964311523437500000e+02 3.858949584960937500e+02 2.573288269042968750e+02 1.580993347167968750e+02 3.360573730468750000e+02 2.643548965454101562e+01 1.466813812255859375e+02 1.676038970947265625e+02 1.673474884033203125e+01 7.391968250274658203e+00 1.290238952636718750e+01
1.969251595437526703e-02 6.225871276855468750e+01 2.344336090087890625e+02 3.010019226074218750e+02 1.249237365722656250e+02 4.837181091308593750e+01 2.638394165039062500e+02 7.719708919525146484e+00 1.179321746826171875e+02 1.342151031494140625e+02 8.187043190002441406e+00 3.027589321136474609e+00 1.290238952636718750e+01
2.551339380443096161e-02 6.622635650634765625e+01 2.593273315429687500e+02 3.357176513671875000e+02 2.291777343750000000e+02 3.853086853027343750e+01 2.934755859375000000e+02 2.633460426330566406e+01 1.285758972167968750e+02 1.462366943359375000e+02 1.394361114501953125e+01 1.051281809806823730e+00 1.290238952636718750e+01
3.202908113598823547e-02 5.391145324707031250e+01 2.083041839599609375e+02 2.682679138183593750e+02 1.812819366455078125e+02 1.239536590576171875e+02 2.348777313232421875e+02 1.984007453918457031e+01 1.032366485595703125e+02 1.169034576416015625e+02 8.866114616394042969e+00 3.791655302047729492e+00 1.290238952636718750e+01
3.846523538231849670e-02 4.325578308105468750e+01 1.710968170166015625e+02 2.134894256591796875e+02 7.065180969238281250e+01 -2.124237632751464844e+01 1.900683441162109375e+02 4.676253795623779297e+00 8.349243927001953125e+01 9.344434356689453125e+01 3.268905401229858398e+00 -1.532724738121032715e+00 1.290238952636718750e+01
4.443310573697090149e-02 3.566269302368164062e+01 1.419946136474609375e+02 1.785490570068359375e+02 8.230301666259765625e+01 3.383477020263671875e+01 1.581148834228515625e+02 7.054227352142333984e+00 6.901791381835937500e+01 7.717720031738281250e+01 3.120260477066040039e+00 7.927631139755249023e-01 1.290238952636718750e+01
5.042308941483497620e-02 3.472602844238281250e+01 1.345733337402343750e+02 1.709493865966796875e+02 8.731398773193359375e+01 1.774479675292968750e+01 1.504234161376953125e+02 8.344472885131835938e+00 6.574980926513671875e+01 7.390282440185546875e+01 3.657914638519287109e+00 2.524522542953491211e-01 1.290238952636718750e+01
5.690929666161537170e-02 2.984764099121093750e+01 1.156841430664062500e+02 1.461837463378906250e+02 7.248246765136718750e+01 2.010602378845214844e+01 1.288419494628906250e+02 6.406120777130126953e+00 5.639967346191406250e+01 6.322571945190429688e+01 3.010001420974731445e+00 4.838099777698516846e-01 1.290238952636718750e+01
6.341847032308578491e-02 2.675364685058593750e+01 1.078034133911132812e+02 1.351014862060546875e+02 7.029887390136718750e+01 9.694881439208984375e+00 1.195163574218750000e+02 7.183962821960449219e+00 5.137363052368164062e+01 5.753126907348632812e+01 3.663016319274902344e+00 2.539857029914855957e-01 1.290238952636718750e+01
6.949992477893829346e-02 2.639587211608886719e+01 1.061206970214843750e+02 1.320883178710937500e+02 5.095346450805664062e+01 2.711740493774414062e+01 1.170778961181640625e+02 3.484157085418701172e+00 5.058609008789062500e+01 5.635117340087890625e+01 1.961087107658386230e+00 1.113232374191284180e+00 1.290238952636718750e+01
7.558133453130722046e-02 2.237696647644042969e+01 9.279503631591796875e+01 1.134143371582031250e+02 4.504036712646484375e+01 -8.853466987609863281e+00 1.013572540283203125e+02 3.793620586395263672e+00 4.320960235595703125e+01 4.774486923217773438e+01 2.213725090026855469e+00 -6.799173951148986816e-01 1.290238952636718750e+01
8.196274191141128540e-02 2.174018669128417969e+01 9.385472869873046875e+01 1.145549392700195312e+02 3.042929649353027344e+01 8.775745391845703125e+00 1.023104629516601562e+02 8.145843744277954102e-01 4.297253799438476562e+01 4.725220108032226562e+01 7.306083440780639648e-01 4.646670520305633545e-01 1.290238952636718750e+01
8.830232173204421997e-02 1.850214385986328125e+01 7.705577850341796875e+01 9.510972595214843750e+01 3.330798339843750000e+01 -1.132722282409667969e+01 8.425478363037109375e+01 2.250050783157348633e+00 3.546514129638671875e+01 3.919371032714843750e+01 1.125700950622558594e+00 -6.813043355941772461e-01 1.290238952636718750e+01
9.435217082500457764e-02 1.627631759643554688e+01 7.105567932128906250e+01 8.707533264160156250e+01 2.989667701721191406e+01 1.161583185195922852e+00 7.723487091064453125e+01 1.793729662895202637e+00 3.171826362609863281e+01 3.482619476318359375e+01 9.791595339775085449e-01 2.155618742108345032e-02 1.290238952636718750e+01
1.005600690841674805e-01 1.500125312805175781e+01 6.743025207519531250e+01 8.198854827880859375e+01 2.780838966369628906e+01 -1.405833148956298828e+01 7.294064331054687500e+01 1.684130311012268066e+00 2.964471054077148438e+01 3.244421386718750000e+01 8.711876273155212402e-01 -7.304871678352355957e-01 1.290238952636718750e+01
1.070138886570930481e-01 1.362848949432373047e+01 6.230104446411132812e+01 7.491344451904296875e+01 2.569892501831054688e+01 1.441944599151611328e+01 6.678353881835937500e+01 1.416447877883911133e+00 2.701550102233886719e+01 2.936296463012695312e+01 8.325454592704772949e-01 4.679984450340270996e-01 1.290238952636718750e+01
1.134273484349250793e-01 1.241019725799560547e+01 5.664223098754882812e+01 6.931409454345703125e+01 2.473679351806640625e+01 1.018684577941894531e+01 6.103387069702148438e+01 1.274603605270385742e+00 2.431951522827148438e+01 2.665098190307617188e+01 8.345444202423095703e-01 2.688706219196319580e-01 1.290238952636718750e+01
1.196089535951614380e-01 1.246869754791259766e+01 5.827340316772460938e+01 7.165449523925781250e+01 3.053548622131347656e+01 4.302321910858154297e+00 6.282196044921875000e+01 2.169463634490966797e+00 2.485388755798339844e+01 2.722564125061035156e+01 1.169954419136047363e+00 -2.102708443999290466e-02 1.290238952636718750e+01
1.257804334163665771e-01 1.156400585174560547e+01 5.355028533935546875e+01 6.528395843505859375e+01 3.044149971008300781e+01 5.483461856842041016e+00 5.733835601806640625e+01 2.489155292510986328e+00 2.271993637084960938e+01 2.470182037353515625e+01 1.133727073669433594e+00 1.054119169712066650e-01 1.290238952636718750e+01
1.321490257978439331e-01 1.087059116363525391e+01 5.112817001342773438e+01 6.179495239257812500e+01 2.152139091491699219e+01 7.821640968322753906e+00 5.434533691406250000e+01 9.476538300514221191e-01 2.137402725219726562e+01 2.314123725891113281e+01 6.095346808433532715e-01 2.692460417747497559e-01 1.290238952636718750e+01
1.384563297033309937e-01 1.023218536376953125e+01 4.899372482299804688e+01 5.898247146606445312e+01 2.060371589660644531e+01 4.872265815734863281e+00 5.178098297119140625e+01 9.101015925407409668e-01 2.017966651916503906e+01 2.179123306274414062e+01 6.419204473495483398e-01 9.176716953516006470e-02 1.290238952636718750e+01
1.446497291326522827e-01 9.046557426452636719e+00 4.499724960327148438e+01 5.420659255981445312e+01 2.096271133422851562e+01 2.720696210861206055e+00 4.742601013183593750e+01 1.111458420753479004e+00 1.806403350830078125e+01 1.939215087890625000e+01 6.736954450607299805e-01 -1.627681404352188110e-02 1.290238952636718750e+01
