# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 13
8.018244989216327667e-03 5.799204635620117188e+01 2.390751037597656250e+02 3.550050659179687500e+02 8.758516845703125000e+02 1.410801879882812500e+03 2.890411682128906250e+02 1.223106307983398438e+02 1.157350311279296875e+02 1.409337005615234375e+02 6.168712234497070312e+01 5.623361968994140625e+01 1.302338790893554688e+01
1.401655934751033783e-02 5.862445449829101562e+01 2.155755767822265625e+02 2.810346374511718750e+02 1.769689636230468750e+02 1.821250000000000000e+02 2.444409790039062500e+02 1.638620948791503906e+01 1.105949935913085938e+02 1.259215469360351562e+02 9.417641639709472656e+00 8.630038261413574219e+00 1.302338790893554688e+01
1.969251595437526703e-02 4.818015289306640625e+01 1.931493682861328125e+02 2.421755065917968750e+02 5.409813308715820312e+01 5.033771896362304688e+01 2.150308074951171875e+02 -5.330094099044799805e-01 9.421953582763671875e+01 1.055408248901367188e+02 6.278420239686965942e-02 6.674269437789916992e-01 1.302338790893554688e+01
2.551339380443096161e-02 5.924509048461914062e+01 2.394667968750000000e+02 2.969987487792968750e+02 8.980088043212890625e+01 1.376214294433593750e+02 2.653116149902343750e+02 3.528311252593994141e+00 1.168757171630859375e+02 1.295427398681640625e+02 -3.580524772405624390e-02 6.128784656524658203e+00 1.302338790893554688e+01
3.202908113598823547e-02 4.943732452392578125e+01 2.068196411132812500e+02 2.682978210449218750e+02 1.909561309814453125e+02 1.044681396484375000e+02 2.340893707275390625e+02 2.139257240295410156e+01 9.883925628662109375e+01 1.123070449829101562e+02 1.032484531402587891e+01 4.253205299377441406e+00 1.302338790893554688e+01
3.846523538231849670e-02 4.001697921752929688e+01 1.634298400878906250e+02 2.040802154541015625e+02 7.340246582031250000e+01 8.198036551475524902e-01 1.815745391845703125e+02 5.535727500915527344e+00 7.906512451171875000e+01 8.824040985107421875e+01 2.793786764144897461e+00 -2.357383072376251221e-01 1.302338790893554688e+01
4.443310573697090149e-02 3.433005523681640625e+01 1.466270904541015625e+02 1.854811401367187500e+02 9.670887756347656250e+01 -1.605252921581268311e-01 1.637558288574218750e+02 9.754061698913574219e+00 6.877498626708984375e+01 7.732418060302734375e+01 4.984054088592529297e+00 1.656445711851119995e-01 1.302338790893554688e+01
5.042308941483497620e-02 3.179945945739746094e+01 1.335525817871093750e+02 1.701443634033203125e+02 1.000941848754882812e+02 2.813761711120605469e+01 1.496002197265625000e+02 1.050537967681884766e+01 6.303400421142578125e+01 7.101111602783203125e+01 4.840084552764892578e+00 9.993234276771545410e-01 1.302338790893554688e+01
5.690929666161537170e-02 2.907290840148925781e+01 1.240735473632812500e+02 1.548951873779296875e+02 6.070274353027343750e+01 -3.311523818969726562e+01 1.374974822998046875e+02 4.886871337890625000e+00 5.771801376342773438e+01 6.443773651123046875e+01 2.492938756942749023e+00 -1.735346078872680664e+00 1.302338790893554688e+01
6.341847032308578491e-02 2.617110061645507812e+01 1.109773101806640625e+02 1.383097076416015625e+02 5.301748275756835938e+01 3.521831989288330078e+00 1.226547698974609375e+02 3.861983537673950195e+00 5.152375411987304688e+01 5.749155044555664062e+01 2.219085693359375000e+00 6.780833005905151367e-02 1.302338790893554688e+01
