# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 151
8.018244989216327667e-03 5.345869445800781250e+01 2.054111175537109375e+02 2.891024169921875000e+02 3.454732360839843750e+02 -5.433473510742187500e+02 2.428588714599609375e+02 5.213127136230468750e+01 1.012213973999023438e+02 1.214933700561523438e+02 3.077027893066406250e+01 -2.909729194641113281e+01 1.287675571441650391e+01
1.401655934751033783e-02 6.359124374389648438e+01 2.344055633544921875e+02 2.937970886230468750e+02 3.497434616088867188e+01 -3.403164978027343750e+02 2.615608825683593750e+02 -1.086415767669677734e+00 1.186118621826171875e+02 1.329791107177734375e+02 -1.076056838035583496e+00 -1.741769790649414062e+01 1.287675571441650391e+01
1.969251595437526703e-02 6.700974273681640625e+01 2.595194396972656250e+02 3.369297180175781250e+02 1.973778686523437500e+02 -7.983945465087890625e+01 2.941148376464843750e+02 2.116730499267578125e+01 1.295550689697265625e+02 1.479199676513671875e+02 1.335031604766845703e+01 -5.117340564727783203e+00 1.287675571441650391e+01
2.551339380443096161e-02 7.356217956542968750e+01 2.722250671386718750e+02 3.495115051269531250e+02 1.463297729492187500e+02 -5.602334976196289062e+00 3.066613769531250000e+02 1.108321094512939453e+01 1.391455535888671875e+02 1.574887847900390625e+02 6.364155769348144531e+00 -2.734277956187725067e-02 1.287675571441650391e+01
3.202908113598823547e-02 5.373556900024414062e+01 2.043356933593750000e+02 2.577591552734375000e+02 8.772233581542968750e+01 -9.650672149658203125e+01 2.282382965087890625e+02 6.158498764038085938e+00 1.017549514770507812e+02 1.141097106933593750e+02 2.052093029022216797e+00 -4.459181308746337891e+00 1.287675571441650391e+01
3.846523538231849670e-02 4.554290390014648438e+01 1.736997375488281250e+02 2.239199218750000000e+02 1.687890625000000000e+02 -7.424326324462890625e+01 1.960999603271484375e+02 2.168270111083984375e+01 8.658256530761718750e+01 9.818298339843750000e+01 1.033382987976074219e+01 -4.030451297760009766e+00 1.287675571441650391e+01
4.443310573697090149e-02 3.440310287475585938e+01 1.414953460693359375e+02 1.767772979736328125e+02 6.210129547119140625e+01 -5.261192703247070312e+01 1.570205993652343750e+02 4.345592021942138672e+00 6.734358215332031250e+01 7.533325195312500000e+01 2.326883792877197266e+00 -2.819210767745971680e+00 1.287675571441650391e+01
5.042308941483497620e-02 3.566536712646484375e+01 1.422152862548828125e+02 1.781276092529296875e+02 7.174247741699218750e+01 1.284481430053710938e+01 1.579944610595703125e+02 5.742406845092773438e+00 6.878978729248046875e+01 7.690256500244140625e+01 2.720501661300659180e+00 5.454445630311965942e-02 1.287675571441650391e+01
5.690929666161537170e-02 2.927916717529296875e+01 1.153476638793945312e+02 1.462083892822265625e+02 7.149084472656250000e+01 -1.280846500396728516e+01 1.287652587890625000e+02 6.953198432922363281e+00 5.568579864501953125e+01 6.271271133422851562e+01 3.681560516357421875e+00 -5.781583786010742188e-01 1.287675571441650391e+01
6.341847032308578491e-02 2.869984436035156250e+01 1.134667129516601562e+02 1.421683959960937500e+02 8.244918823242187500e+01 3.450691223144531250e+01 1.257454833984375000e+02 8.884385108947753906e+00 5.478056716918945312e+01 6.111154556274414062e+01 4.112555980682373047e+00 1.273206830024719238e+00 1.287675571441650391e+01
6.949992477893829346e-02 2.568180465698242188e+01 1.030008239746093750e+02 1.284099426269531250e+02 7.178050231933593750e+01 1.131637001037597656e+01 1.137166442871093750e+02 7.850510597229003906e+00 4.915522003173828125e+01 5.477011871337890625e+01 4.000677585601806641e+00 3.089336454868316650e-01 1.287675571441650391e+01
7.558133453130722046e-02 2.382749557495117188e+01 9.911660766601562500e+01 1.237697143554687500e+02 5.123409652709960938e+01 -1.367944717407226562e+01 1.093931655883789062e+02 4.123570442199707031e+00 4.630016708374023438e+01 5.156555175781250000e+01 2.266809463500976562e+00 -8.270341157913208008e-01 1.287675571441650391e+01
8.196274191141128540e-02 2.085410118103027344e+01 8.825143432617187500e+01 1.077932891845703125e+02 4.278635787963867188e+01 2.886211776733398438e+01 9.614630889892578125e+01 3.042359352111816406e+00 4.053746032714843750e+01 4.457279968261718750e+01 1.254016160964965820e+00 1.034038066864013672e+00 1.287675571441650391e+01
8.830232173204421997e-02 1.857048225402832031e+01 7.901707458496093750e+01 9.608971405029296875e+01 2.971908950805664062e+01 4.549009799957275391e+00 8.565848541259765625e+01 1.443660497665405273e+00 3.605498504638671875e+01 3.954907226562500000e+01 8.496640324592590332e-01 1.301855593919754028e-01 1.287675571441650391e+01
9.435217082500457764e-02 1.624889755249023438e+01 7.100939178466796875e+01 8.815220642089843750e+01 3.737829589843750000e+01 8.069420814514160156e+00 7.757515716552734375e+01 2.803208351135253906e+00 3.166610527038574219e+01 3.499914550781250000e+01 1.476107478141784668e+00 3.629257082939147949e-01 1.287675571441650391e+01
1.005600690841674805e-01 1.451532554626464844e+01 6.633443450927734375e+01 8.097906494140625000e+01 2.823381233215332031e+01 -1.169989776611328125e+01 7.172232055664062500e+01 1.618417978286743164e+00 2.881682968139648438e+01 3.152834510803222656e+01 8.965396285057067871e-01 -6.855308413505554199e-01 1.287675571441650391e+01
1.070138886570930481e-01 1.334670257568359375e+01 6.221320343017578125e+01 7.623252868652343750e+01 2.677904891967773438e+01 5.639256954193115234e+00 6.728440093994140625e+01 1.436752080917358398e+00 2.656500625610351562e+01 2.902803039550781250e+01 6.817982792854309082e-01 1.088408306241035461e-01 1.287675571441650391e+01
1.134273484349250793e-01 1.252471160888671875e+01 5.855158615112304688e+01 7.186161804199218750e+01 3.044962882995605469e+01 5.832587718963623047e+00 6.315368270874023438e+01 2.141866445541381836e+00 2.486105728149414062e+01 2.714488983154296875e+01 1.084307789802551270e+00 6.298709660768508911e-02 1.287675571441650391e+01
1.196089535951614380e-01 1.258577537536621094e+01 5.842070388793945312e+01 7.155501556396484375e+01 2.841994094848632812e+01 2.258126735687255859e+00 6.277384948730468750e+01 1.734737753868103027e+00 2.493485450744628906e+01 2.726006698608398438e+01 9.608359932899475098e-01 -5.302923917770385742e-02 1.287675571441650391e+01
1.257804334163665771e-01 1.168909931182861328e+01 5.492266082763671875e+01 6.631009674072265625e+01 2.215075111389160156e+01 -8.158472776412963867e-01 5.849880981445312500e+01 1.070026755332946777e+00 2.309776878356933594e+01 2.495755195617675781e+01 5.700635910034179688e-01 -6.521608680486679077e-02 1.287675571441650391e+01
1.321490257978439331e-01 1.087255859375000000e+01 5.182969284057617188e+01 6.234105300903320312e+01 2.229143714904785156e+01 -5.720827579498291016e+00 5.489566802978515625e+01 1.233036756515502930e+00 2.159618568420410156e+01 2.315625190734863281e+01 6.102791428565979004e-01 -2.704546749591827393e-01 1.287675571441650391e+01
1.384563297033309937e-01 9.816027641296386719e+00 4.846900177001953125e+01 5.797238159179687500e+01 1.928848648071289062e+01 3.996192693710327148e+00 5.097816848754882812e+01 6.029102802276611328e-01 1.960832405090332031e+01 2.096840095520019531e+01 3.543041646480560303e-01 4.967536404728889465e-02 1.287675571441650391e+01
1.446497291326522827e-01 9.273859977722167969e+00 4.638838195800781250e+01 5.599351119995117188e+01 2.056599426269531250e+01 -1.724224090576171875e-01 4.882300949096679688e+01 1.016611695289611816e+00 1.861240386962890625e+01 1.996287345886230469e+01 5.883579254150390625e-01 -4.410253837704658508e-02 1.287675571441650391e+01
1.508535146713256836e-01 8.466293334960937500e+00 4.339344024658203125e+01 5.225716400146484375e+01 1.769108963012695312e+01 5.245986953377723694e-02 4.550041198730468750e+01 5.632117986679077148e-01 1.703606986999511719e+01 1.822481918334960938e+01 3.085837364196777344e-01 -5.722541734576225281e-02 1.287675571441650391e+01
1.571729034185409546e-01 7.983598709106445312e+00 4.124108886718750000e+01 5.011590957641601562e+01 1.995110511779785156e+01 2.301992416381835938e+00 4.314079284667968750e+01 7.904811501502990723e-01 1.609235572814941406e+01 1.721808815002441406e+01 5.414069890975952148e-01 -2.413691207766532898e-02 1.287675571441650391e+01
1.635417938232421875e-01 7.468618392944335938e+00 3.924473953247070312e+01 4.700827026367187500e+01 1.796251106262207031e+01 1.962996840476989746e+00 4.061629486083984375e+01 7.919862866401672363e-01 1.502145767211914062e+01 1.583844757080078125e+01 3.646556437015533447e-01 -1.584695652127265930e-02 1.287675571441650391e+01
1.698256134986877441e-01 7.151937961578369141e+00 3.789032363891601562e+01 4.554890060424804688e+01 1.978907775878906250e+01 6.176687240600585938e+00 3.911959457397460938e+01 1.020261645317077637e+00 1.441086292266845703e+01 1.520682334899902344e+01 5.127111077308654785e-01 1.700687855482101440e-01 1.287675571441650391e+01
1.761013567447662354e-01 6.578855991363525391e+00 3.574916839599609375e+01 4.293159866333007812e+01 1.551075172424316406e+01 -1.992240905761718750e+00 3.681748199462890625e+01 4.574029147624969482e-01 1.331995296478271484e+01 1.404000091552734375e+01 3.497396707534790039e-01 -1.277656704187393188e-01 1.287675571441650391e+01
1.823998540639877319e-01 6.659709930419921875e+00 3.622322082519531250e+01 4.310482406616210938e+01 1.583503818511962891e+01 4.093280792236328125e+00 3.701149749755859375e+01 4.657508134841918945e-01 1.347591495513916016e+01 1.405552196502685547e+01 3.218562006950378418e-01 1.447071135044097900e-01 1.287675571441650391e+01
1.886507123708724976e-01 6.356260776519775391e+00 3.541162109375000000e+01 4.223096084594726562e+01 1.414303970336914062e+01 3.403088808059692383e+00 3.608850097656250000e+01 4.139231890439987183e-02 1.296595954895019531e+01 1.350197315216064453e+01 1.231784895062446594e-01 6.494071334600448608e-02 1.287675571441650391e+01
1.949081569910049438e-01 6.069377422332763672e+00 3.420426940917968750e+01 4.047206115722656250e+01 1.295041370391845703e+01 -2.730942726135253906e+00 3.455754470825195312e+01 1.564350277185440063e-01 1.242488956451416016e+01 1.280792522430419922e+01 1.667179167270660400e-01 -1.084899604320526123e-01 1.287675571441650391e+01
2.011425346136093140e-01 5.677574634552001953e+00 3.274550247192382812e+01 3.853514099121093750e+01 1.080444526672363281e+01 1.089697003364562988e+00 3.272924423217773438e+01 -3.333109617233276367e-01 1.162752246856689453e+01 1.191127109527587891e+01 1.206523831933736801e-02 1.001012790948152542e-02 1.287675571441650391e+01
2.073954045772552490e-01 5.358115196228027344e+00 3.099667167663574219e+01 3.690109252929687500e+01 1.450297451019287109e+01 2.230593204498291016e+00 3.096302795410156250e+01 2.339082658290863037e-01 1.090549564361572266e+01 1.119003105163574219e+01 2.352679967880249023e-01 5.506500136107206345e-03 1.287675571441650391e+01
2.137389332056045532e-01 5.252732753753662109e+00 3.121666145324707031e+01 3.670924758911132812e+01 1.228337001800537109e+01 3.925270080566406250e+00 3.092971038818359375e+01 -8.962377160787582397e-02 1.086225700378417969e+01 1.104060649871826172e+01 1.025717630982398987e-01 6.935421377420425415e-02 1.287675571441650391e+01
2.200330942869186401e-01 5.020108222961425781e+00 3.012586402893066406e+01 3.534422683715820312e+01 1.089465904235839844e+01 2.416163921356201172e+00 2.967782402038574219e+01 -2.460196912288665771e-01 1.031767272949218750e+01 1.046810245513916016e+01 2.857528440654277802e-02 4.766397550702095032e-02 1.287675571441650391e+01
2.262930423021316528e-01 4.714783668518066406e+00 2.895136833190917969e+01 3.409943008422851562e+01 1.287255287170410156e+01 4.589885234832763672e+00 2.833208847045898438e+01 -4.150415211915969849e-02 9.725883483886718750e+00 9.784668922424316406e+00 8.035296946763992310e-02 8.617869019508361816e-02 1.287675571441650391e+01
2.325985133647918701e-01 4.455180168151855469e+00 2.764187049865722656e+01 3.284892272949218750e+01 1.083502197265625000e+01 4.860661029815673828e-01 2.699796485900878906e+01 -3.119058012962341309e-01 9.191859245300292969e+00 9.223582267761230469e+00 -2.037455700337886810e-02 3.154240921139717102e-02 1.287675571441650391e+01
2.388891130685806274e-01 4.411798954010009766e+00 2.786432456970214844e+01 3.237816619873046875e+01 9.927788734436035156e+00 3.643141090869903564e-01 2.690349388122558594e+01 -3.863830864429473877e-01 9.171866416931152344e+00 9.076968193054199219e+00 -6.479891389608383179e-02 -3.303100541234016418e-02 1.287675571441650391e+01
2.451218813657760620e-01 4.245543479919433594e+00 2.703579902648925781e+01 3.160141754150390625e+01 1.024470996856689453e+01 2.859956741333007812e+00 2.594349861145019531e+01 -3.769007921218872070e-01 8.805551528930664062e+00 8.704958915710449219e+00 -2.845668047666549683e-02 6.055141985416412354e-02 1.287675571441650391e+01
2.513737380504608154e-01 4.054519176483154297e+00 2.628183937072753906e+01 3.057253646850585938e+01 1.053045368194580078e+01 1.754119515419006348e+00 2.498809814453125000e+01 -3.480519056320190430e-01 8.401836395263671875e+00 8.242811203002929688e+00 3.195295110344886780e-03 5.813941359519958496e-02 1.287675571441650391e+01
2.577070593833923340e-01 4.062342166900634766e+00 2.671898078918457031e+01 3.046002197265625000e+01 9.154811859130859375e+00 2.665283918380737305e+00 2.512730407714843750e+01 -4.458478987216949463e-01 8.484753608703613281e+00 8.162619590759277344e+00 -8.186972886323928833e-02 5.812400579452514648e-02 1.287675571441650391e+01
2.640204429626464844e-01 3.882991075515747070e+00 2.580403900146484375e+01 2.999260520935058594e+01 8.045326232910156250e+00 8.275154232978820801e-01 2.425032424926757812e+01 -7.977356314659118652e-01 8.094061851501464844e+00 7.831634998321533203e+00 -1.484090089797973633e-01 2.185522951185703278e-02 1.287675571441650391e+01
2.702898085117340088e-01 3.793668031692504883e+00 2.562961006164550781e+01 2.960270500183105469e+01 8.143140792846679688e+00 2.832497119903564453e+00 2.393881034851074219e+01 -7.976016998291015625e-01 7.933286666870117188e+00 7.627617835998535156e+00 -1.692506670951843262e-01 7.755868881940841675e-02 1.287675571441650391e+01
2.765615284442901611e-01 3.667897224426269531e+00 2.506366539001464844e+01 2.879146575927734375e+01 9.060323715209960938e+00 3.015419960021972656e+00 2.314913177490234375e+01 -6.094303131103515625e-01 7.688647270202636719e+00 7.292435646057128906e+00 -1.024769842624664307e-01 6.347437202930450439e-02 1.287675571441650391e+01
2.828698754310607910e-01 3.530936956405639648e+00 2.425869750976562500e+01 2.778681182861328125e+01 7.884626388549804688e+00 1.054625287652015686e-01 2.216516876220703125e+01 -7.602875828742980957e-01 7.383391380310058594e+00 6.945150375366210938e+00 -1.921745985746383667e-01 -5.828225985169410706e-03 1.287675571441650391e+01
2.891486585140228271e-01 3.456102848052978516e+00 2.372536849975585938e+01 2.745145606994628906e+01 7.986514568328857422e+00 3.246241807937622070e+00 2.169491767883300781e+01 -7.838754057884216309e-01 7.188521385192871094e+00 6.787468433380126953e+00 -1.697621941566467285e-01 6.771696358919143677e-02 1.287675571441650391e+01
2.953523397445678711e-01 3.303339958190917969e+00 2.331529617309570312e+01 2.685736846923828125e+01 8.061282157897949219e+00 4.057482719421386719e+00 2.111020469665527344e+01 -8.242296576499938965e-01 6.915820598602294922e+00 6.456089019775390625e+00 -1.543145924806594849e-01 8.515764772891998291e-02 1.287675571441650391e+01
3.016075491905212402e-01 3.268742561340332031e+00 2.323734474182128906e+01 2.645808219909667969e+01 6.958804607391357422e+00 1.933041214942932129e+00 2.080268669128417969e+01 -9.566053748130798340e-01 6.832791328430175781e+00 6.284016132354736328e+00 -2.210904955863952637e-01 6.792693585157394409e-02 1.287675571441650391e+01
3.079382479190826416e-01 3.145995616912841797e+00 2.284232330322265625e+01 2.602732658386230469e+01 6.776883602142333984e+00 1.127947211265563965e+00 2.025732231140136719e+01 -1.039725303649902344e+00 6.600559711456298828e+00 6.025709152221679688e+00 -2.033097147941589355e-01 2.515804395079612732e-02 1.287675571441650391e+01
3.142760396003723145e-01 3.079111099243164062e+00 2.251779747009277344e+01 2.556436920166015625e+01 7.038073062896728516e+00 2.208035230636596680e+00 1.977526283264160156e+01 -1.010807514190673828e+00 6.448315620422363281e+00 5.851184368133544922e+00 -2.157336920499801636e-01 3.727838769555091858e-02 1.287675571441650391e+01
3.205462992191314697e-01 3.046194314956665039e+00 2.243577194213867188e+01 2.553994941711425781e+01 6.800445556640625000e+00 2.136086225509643555e+00 1.967707443237304688e+01 -1.025778889656066895e+00 6.402710914611816406e+00 5.799690246582031250e+00 -1.997688710689544678e-01 6.516177952289581299e-02 1.287675571441650391e+01
3.268128037452697754e-01 2.996728420257568359e+00 2.193974304199218750e+01 2.474511146545410156e+01 6.566246509552001953e+00 2.924286842346191406e+00 1.893482971191406250e+01 -1.121992230415344238e+00 6.216734886169433594e+00 5.504517078399658203e+00 -2.540604174137115479e-01 8.890959620475769043e-02 1.287675571441650391e+01
3.331238031387329102e-01 2.967231035232543945e+00 2.210761833190917969e+01 2.461513328552246094e+01 4.990663051605224609e+00 2.588089227676391602e+00 1.886510276794433594e+01 -1.346351385116577148e+00 6.209716796875000000e+00 5.474389553070068359e+00 -2.916880548000335693e-01 7.074452191591262817e-02 1.287675571441650391e+01
3.394046723842620850e-01 2.860238552093505859e+00 2.148764419555664062e+01 2.441480445861816406e+01 6.706151008605957031e+00 2.789661169052124023e+00 1.837552642822265625e+01 -1.096502304077148438e+00 5.982496261596679688e+00 5.259327888488769531e+00 -2.607405781745910645e-01 9.606632590293884277e-02 1.287675571441650391e+01
3.456391692161560059e-01 2.882386684417724609e+00 2.150638771057128906e+01 2.401912307739257812e+01 5.625444889068603516e+00 3.946993827819824219e+00 1.815017318725585938e+01 -1.303744316101074219e+00 5.984729290008544922e+00 5.227322578430175781e+00 -2.909429967403411865e-01 1.186890825629234314e-01 1.287675571441650391e+01
3.518808186054229736e-01 2.843828678131103516e+00 2.117242431640625000e+01 2.375602912902832031e+01 5.661112308502197266e+00 2.914798021316528320e+00 1.778605270385742188e+01 -1.289304494857788086e+00 5.846876621246337891e+00 5.059517860412597656e+00 -2.886575162410736084e-01 9.624781459569931030e-02 1.287675571441650391e+01
3.582032322883605957e-01 2.762737035751342773e+00 2.112836647033691406e+01 2.347875785827636719e+01 5.480741500854492188e+00 2.806982278823852539e+00 1.742132377624511719e+01 -1.347519040107727051e+00 5.734385967254638672e+00 4.872457981109619141e+00 -3.036555647850036621e-01 1.103006154298782349e-01 1.287675571441650391e+01
3.645117878913879395e-01 2.735713720321655273e+00 2.085302162170410156e+01 2.332324600219726562e+01 5.979908943176269531e+00 4.249236583709716797e+00 1.707004547119140625e+01 -1.407090306282043457e+00 5.629166126251220703e+00 4.776463508605957031e+00 -3.271157145500183105e-01 1.183849126100540161e-01 1.287675571441650391e+01
3.707640767097473145e-01 2.723015546798706055e+00 2.091589736938476562e+01 2.341574859619140625e+01 4.921134471893310547e+00 4.835115909576416016e+00 1.702108955383300781e+01 -1.679320335388183594e+00 5.617040157318115234e+00 4.713804244995117188e+00 -3.800485134124755859e-01 1.227455437183380127e-01 1.287675571441650391e+01
