# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 45
8.018244989216327667e-03 2.851501274108886719e+01 9.289106750488281250e+01 1.228258209228515625e+02 1.012511825561523438e+02 1.313277130126953125e+02 1.060410766601562500e+02 1.138799381256103516e+01 4.920597839355468750e+01 5.654260253906250000e+01 4.552651405334472656e+00 4.957611560821533203e+00 1.302856445312500000e+01
1.401655934751033783e-02 6.287310791015625000e+01 2.778250427246093750e+02 3.535208740234375000e+02 1.875196838378906250e+02 6.404909515380859375e+01 3.116434936523437500e+02 1.772117042541503906e+01 1.301045379638671875e+02 1.466956787109375000e+02 9.515627861022949219e+00 3.540832042694091797e+00 1.302856445312500000e+01
1.969251595437526703e-02 6.243960189819335938e+01 2.457161102294921875e+02 3.093158264160156250e+02 6.420979309082031250e+01 3.922409820556640625e+01 2.741373901367187500e+02 -1.797401905059814453e+00 1.219145126342773438e+02 1.371650695800781250e+02 2.545642614364624023e+00 1.151898622512817383e+00 1.302856445312500000e+01
2.551339380443096161e-02 5.625839996337890625e+01 2.305121765136718750e+02 2.835277404785156250e+02 2.022126770019531250e+01 -8.411376953125000000e+01 2.544264221191406250e+02 -6.546663284301757812e+00 1.117470016479492188e+02 1.238776245117187500e+02 -2.604290962219238281e+00 -2.696119308471679688e+00 1.302856445312500000e+01
3.202908113598823547e-02 4.323157882690429688e+01 1.796421813964843750e+02 2.222762908935546875e+02 5.162739181518554688e+01 -5.544240951538085938e+01 1.988153076171875000e+02 1.249530315399169922e+00 8.528071594238281250e+01 9.498358917236328125e+01 7.947425246238708496e-01 -2.155092000961303711e+00 1.302856445312500000e+01
3.846523538231849670e-02 3.541442108154296875e+01 1.484620971679687500e+02 1.890012359619140625e+02 9.722712707519531250e+01 -4.245299530029296875e+01 1.665778656005859375e+02 1.030538654327392578e+01 7.020173645019531250e+01 7.941279602050781250e+01 5.725535392761230469e+00 -2.653975963592529297e+00 1.302856445312500000e+01
4.443310573697090149e-02 3.276916885375976562e+01 1.351614990234375000e+02 1.716162872314453125e+02 1.045759124755859375e+02 4.823209285736083984e+00 1.512575988769531250e+02 1.148905563354492188e+01 6.437319183349609375e+01 7.268403625488281250e+01 6.245835781097412109e+00 -3.752303496003150940e-02 1.302856445312500000e+01
5.042308941483497620e-02 2.835247039794921875e+01 1.178996810913085938e+02 1.478226013183593750e+02 5.908592224121093750e+01 1.384072780609130859e+01 1.310468139648437500e+02 4.423036575317382812e+00 5.557743453979492188e+01 6.224008941650390625e+01 2.187619447708129883e+00 5.102435946464538574e-01 1.302856445312500000e+01
5.690929666161537170e-02 2.487218856811523438e+01 1.057420654296875000e+02 1.333320617675781250e+02 7.275660705566406250e+01 -3.648332595825195312e+01 1.178518905639648438e+02 8.184590339660644531e+00 4.912594223022460938e+01 5.521512985229492188e+01 3.864209890365600586e+00 -2.117718935012817383e+00 1.302856445312500000e+01
6.341847032308578491e-02 2.591879653930664062e+01 1.131908187866210938e+02 1.428888702392578125e+02 9.574126434326171875e+01 3.101231765747070312e+01 1.261157608032226562e+02 1.112648200988769531e+01 5.209214019775390625e+01 5.845117950439453125e+01 5.507051467895507812e+00 1.340155243873596191e+00 1.302856445312500000e+01
