# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 105
8.018244989216327667e-03 5.351010131835937500e+01 1.542215881347656250e+02 2.118378601074218750e+02 1.515893707275390625e+02 -2.227761535644531250e+02 1.796422424316406250e+02 1.828282928466796875e+01 8.856533050537109375e+01 1.043602600097656250e+02 1.221044349670410156e+01 -1.237334918975830078e+01 1.287708473205566406e+01
1.401655934751033783e-02 8.481551361083984375e+01 3.116618957519531250e+02 4.129370422363281250e+02 3.247058105468750000e+02 2.525572357177734375e+02 3.562685241699218750e+02 3.531581115722656250e+01 1.600579376220703125e+02 1.840692291259765625e+02 2.059856224060058594e+01 1.159537982940673828e+01 1.287708473205566406e+01
1.969251595437526703e-02 5.927857589721679688e+01 2.289418945312500000e+02 2.870068664550781250e+02 1.267635803222656250e+02 2.332183227539062500e+02 2.549158935546875000e+02 9.661966323852539062e+00 1.142105636596679688e+02 1.274621963500976562e+02 3.332096576690673828e+00 1.065525913238525391e+01 1.287708473205566406e+01
2.551339380443096161e-02 5.804294967651367188e+01 2.225380706787109375e+02 2.772690734863281250e+02 6.814682769775390625e+01 1.399113006591796875e+02 2.468926086425781250e+02 -5.463213920593261719e-01 1.111727600097656250e+02 1.240309066772460938e+02 5.548633933067321777e-01 6.951976776123046875e+00 1.287708473205566406e+01
3.202908113598823547e-02 5.007390975952148438e+01 1.904113311767578125e+02 2.389376068115234375e+02 5.061058425903320312e+01 -1.734111022949218750e+02 2.122269134521484375e+02 1.219954609870910645e+00 9.543119812011718750e+01 1.069150390625000000e+02 6.230632066726684570e-01 -8.446584701538085938e+00 1.287708473205566406e+01
3.846523538231849670e-02 4.631567001342773438e+01 1.791118927001953125e+02 2.305151214599609375e+02 1.514870605468750000e+02 -7.107164764404296875e+01 2.020404510498046875e+02 1.810945892333984375e+01 8.867994689941406250e+01 1.004711532592773438e+02 8.610061645507812500e+00 -3.965168237686157227e+00 1.287708473205566406e+01
4.443310573697090149e-02 3.761205291748046875e+01 1.465984954833984375e+02 1.878280181884765625e+02 1.014273605346679688e+02 -5.665259170532226562e+01 1.647751007080078125e+02 1.076622295379638672e+01 7.176984405517578125e+01 8.141831970214843750e+01 6.007090568542480469e+00 -2.690578222274780273e+00 1.287708473205566406e+01
5.042308941483497620e-02 3.095742034912109375e+01 1.266813507080078125e+02 1.597470550537109375e+02 9.357171630859375000e+01 5.293011856079101562e+01 1.411355133056640625e+02 9.793212890625000000e+00 6.022394180297851562e+01 6.766433715820312500e+01 5.046066284179687500e+00 2.098776578903198242e+00 1.287708473205566406e+01
5.690929666161537170e-02 3.099354362487792969e+01 1.235059814453125000e+02 1.560061950683593750e+02 9.107477569580078125e+01 -3.281809234619140625e+01 1.376895446777343750e+02 1.031779766082763672e+01 5.952753067016601562e+01 6.687893676757812500e+01 5.430093765258789062e+00 -1.681180357933044434e+00 1.287708473205566406e+01
6.341847032308578491e-02 2.668857002258300781e+01 1.120485076904296875e+02 1.385723419189453125e+02 5.439477539062500000e+01 5.014517974853515625e+01 1.232939910888671875e+02 3.630128145217895508e+00 5.247599792480468750e+01 5.818239974975585938e+01 1.869695425033569336e+00 2.356235980987548828e+00 1.287708473205566406e+01
