# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 51
8.018244989216327667e-03 5.027387619018554688e+01 2.224652099609375000e+02 2.840342407226562500e+02 1.562139434814453125e+02 -3.941036224365234375e+01 2.501613159179687500e+02 1.701482772827148438e+01 1.013736038208007812e+02 1.151800689697265625e+02 9.369931221008300781e+00 -3.999573945999145508e+00 1.305269336700439453e+01
1.401655934751033783e-02 4.324250030517578125e+01 1.711766510009765625e+02 2.265101623535156250e+02 1.894748992919921875e+02 -2.938602066040039062e+01 1.959407653808593750e+02 2.407003974914550781e+01 8.401674652099609375e+01 9.658886718750000000e+01 1.200851154327392578e+01 -2.219251632690429688e+00 1.305269336700439453e+01
1.969251595437526703e-02 5.546244430541992188e+01 2.337098236083984375e+02 2.798213500976562500e+02 -9.756534576416015625e+01 -1.570786762237548828e+01 2.545659179687500000e+02 -2.727637100219726562e+01 1.117622909545898438e+02 1.223465194702148438e+02 -1.279616069793701172e+01 5.616547465324401855e-01 1.305269336700439453e+01
2.551339380443096161e-02 5.472251892089843750e+01 2.192911376953125000e+02 2.839278869628906250e+02 2.035273895263671875e+02 -5.401682853698730469e+00 2.482151184082031250e+02 2.452341651916503906e+01 1.068301696777343750e+02 1.215701293945312500e+02 1.182035636901855469e+01 -1.585325717926025391e+00 1.305269336700439453e+01
3.202908113598823547e-02 4.927967453002929688e+01 2.103515625000000000e+02 2.729415283203125000e+02 2.212364501953125000e+02 -1.860008049011230469e+01 2.384482421875000000e+02 2.870116424560546875e+01 9.957643890380859375e+01 1.133011779785156250e+02 1.333924102783203125e+01 -1.804164648056030273e+00 1.305269336700439453e+01
3.846523538231849670e-02 3.645964050292968750e+01 1.476351318359375000e+02 1.910095825195312500e+02 1.326967926025390625e+02 6.804578399658203125e+01 1.667458343505859375e+02 1.435515403747558594e+01 7.109680175781250000e+01 8.084710693359375000e+01 7.381233692169189453e+00 2.611271858215332031e+00 1.305269336700439453e+01
4.443310573697090149e-02 3.379003143310546875e+01 1.442120513916015625e+02 1.780699310302734375e+02 4.163867568969726562e+01 2.931261444091796875e+01 1.591546936035156250e+02 2.530008256435394287e-01 6.783892059326171875e+01 7.524732208251953125e+01 -8.940912783145904541e-02 9.113453626632690430e-01 1.305269336700439453e+01
5.042308941483497620e-02 3.092088890075683594e+01 1.277467193603515625e+02 1.590260314941406250e+02 6.205544281005859375e+01 1.130386218428611755e-01 1.414680633544921875e+02 4.830150127410888672e+00 6.054103469848632812e+01 6.760684967041015625e+01 2.876652717590332031e+00 -1.898021697998046875e-01 1.305269336700439453e+01
5.690929666161537170e-02 2.741983795166015625e+01 1.196152725219726562e+02 1.482356262207031250e+02 6.356013488769531250e+01 -4.082727813720703125e+01 1.321753387451171875e+02 6.234369277954101562e+00 5.489029312133789062e+01 6.121471786499023438e+01 3.321944236755371094e+00 -1.846312403678894043e+00 1.305269336700439453e+01
6.341847032308578491e-02 2.718423843383789062e+01 1.184649581909179688e+02 1.445667877197265625e+02 4.072637176513671875e+01 1.616995429992675781e+01 1.297540435791015625e+02 1.740408897399902344e+00 5.457065963745117188e+01 6.018655776977539062e+01 1.035852789878845215e+00 7.179859280586242676e-01 1.305269336700439453e+01
