# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 25
8.018244989216327667e-03 4.346757507324218750e+01 1.729970703125000000e+02 2.453169097900390625e+02 3.980486450195312500e+02 1.379140472412109375e+02 2.046509399414062500e+02 5.589512634277343750e+01 8.334098052978515625e+01 9.975973510742187500e+01 2.986563491821289062e+01 5.861460208892822266e+00 1.285503482818603516e+01
1.401655934751033783e-02 9.382487487792968750e+01 3.634115295410156250e+02 4.826723937988281250e+02 4.736076660156250000e+02 1.798208312988281250e+02 4.165061950683593750e+02 6.067657089233398438e+01 1.820560150146484375e+02 2.083510894775390625e+02 2.673456382751464844e+01 8.887419700622558594e+00 1.285503482818603516e+01
1.969251595437526703e-02 8.780422210693359375e+01 3.337263183593750000e+02 4.282422790527343750e+02 1.710661010742187500e+02 -3.371676940917968750e+02 3.763786926269531250e+02 1.612685012817382812e+01 1.689199829101562500e+02 1.906717529296875000e+02 6.938125610351562500e+00 -1.548404121398925781e+01 1.285503482818603516e+01
2.551339380443096161e-02 7.582445526123046875e+01 2.861922607421875000e+02 3.626440124511718750e+02 1.681609191894531250e+02 -1.306789779663085938e+01 3.205260925292968750e+02 1.585918521881103516e+01 1.449994659423828125e+02 1.631142578125000000e+02 8.896105766296386719e+00 -5.464069247245788574e-01 1.285503482818603516e+01
3.202908113598823547e-02 4.968381118774414062e+01 1.934342498779296875e+02 2.483789978027343750e+02 1.417269897460937500e+02 1.912318420410156250e+01 2.178048400878906250e+02 1.435898685455322266e+01 9.564347076416015625e+01 1.084536514282226562e+02 8.267661094665527344e+00 8.537709116935729980e-01 1.285503482818603516e+01
3.846523538231849670e-02 4.150727462768554688e+01 1.621183624267578125e+02 2.078131713867187500e+02 9.467844390869140625e+01 -6.737338256835937500e+01 1.823319854736328125e+02 8.652750015258789062e+00 8.006655883789062500e+01 9.061470031738281250e+01 4.812155723571777344e+00 -3.245993614196777344e+00 1.285503482818603516e+01
4.443310573697090149e-02 3.513198089599609375e+01 1.352029571533203125e+02 1.720395812988281250e+02 9.245777893066406250e+01 -2.046957969665527344e+00 1.513415832519531250e+02 9.290994644165039062e+00 6.648559570312500000e+01 7.486853027343750000e+01 4.166145801544189453e+00 -4.416638910770416260e-01 1.285503482818603516e+01
5.042308941483497620e-02 3.148699760437011719e+01 1.251973876953125000e+02 1.555802459716796875e+02 5.152209854125976562e+01 7.368806362152099609e+00 1.384255371093750000e+02 3.196682691574096680e+00 6.040622329711914062e+01 6.727432250976562500e+01 1.374455690383911133e+00 5.018179416656494141e-01 1.285503482818603516e+01
5.690929666161537170e-02 3.103107261657714844e+01 1.236436767578125000e+02 1.548215942382812500e+02 6.230044937133789062e+01 1.178946971893310547e+01 1.370800170898437500e+02 4.657077312469482422e+00 5.947037124633789062e+01 6.658179473876953125e+01 2.413111209869384766e+00 2.712838351726531982e-01 1.285503482818603516e+01
6.341847032308578491e-02 2.700347518920898438e+01 1.076286239624023438e+02 1.330654754638671875e+02 2.677291679382324219e+01 -2.642325639724731445e+00 1.183640670776367188e+02 -6.671251058578491211e-01 5.166672897338867188e+01 5.721073150634765625e+01 -3.917309045791625977e-01 -2.767953276634216309e-01 1.285503482818603516e+01
6.949992477893829346e-02 2.650620841979980469e+01 1.101854934692382812e+02 1.352114868164062500e+02 4.679252243041992188e+01 -1.110568714141845703e+01 1.207554244995117188e+02 3.341235637664794922e+00 5.173191452026367188e+01 5.717234039306640625e+01 1.719579339027404785e+00 -5.396823287010192871e-01 1.285503482818603516e+01
7.558133453130722046e-02 2.330993843078613281e+01 9.842301940917968750e+01 1.214075317382812500e+02 4.555148696899414062e+01 -3.766586065292358398e+00 1.078519744873046875e+02 3.248118638992309570e+00 4.559349060058593750e+01 5.036753463745117188e+01 1.541456341743469238e+00 -3.379245996475219727e-01 1.285503482818603516e+01
8.196274191141128540e-02 2.128116226196289062e+01 9.115152740478515625e+01 1.117799377441406250e+02 4.957473373413085938e+01 7.255709171295166016e+00 9.952280426025390625e+01 4.695116996765136719e+00 4.183425903320312500e+01 4.606731796264648438e+01 2.347595930099487305e+00 2.826429307460784912e-01 1.285503482818603516e+01
8.830232173204421997e-02 1.831234169006347656e+01 8.051243591308593750e+01 9.935824584960937500e+01 4.196632003784179688e+01 -4.453988552093505859e+00 8.789199829101562500e+01 3.456156015396118164e+00 3.618706893920898438e+01 4.002225494384765625e+01 1.943282604217529297e+00 -2.414935678243637085e-01 1.285503482818603516e+01
9.435217082500457764e-02 1.652359199523925781e+01 7.195230865478515625e+01 8.785288238525390625e+01 3.494970703125000000e+01 -1.996073722839355469e+00 7.801034545898437500e+01 2.866905689239501953e+00 3.230195999145507812e+01 3.538578414916992188e+01 1.256589531898498535e+00 -2.392424792051315308e-01 1.285503482818603516e+01
1.005600690841674805e-01 1.478067970275878906e+01 6.720416259765625000e+01 8.317201995849609375e+01 3.794130706787109375e+01 -2.159497141838073730e-02 7.311402130126953125e+01 3.124047040939331055e+00 2.934632492065429688e+01 3.242733001708984375e+01 1.597875237464904785e+00 -1.991746723651885986e-01 1.285503482818603516e+01
1.070138886570930481e-01 1.339972496032714844e+01 6.173382949829101562e+01 7.655113220214843750e+01 3.043004989624023438e+01 5.970322608947753906e+00 6.704827880859375000e+01 1.899678230285644531e+00 2.664550209045410156e+01 2.930432128906250000e+01 1.000936985015869141e+00 9.607877582311630249e-02 1.285503482818603516e+01
1.134273484349250793e-01 1.297570133209228516e+01 5.965569305419921875e+01 7.351660919189453125e+01 2.932679939270019531e+01 -1.057970285415649414e+00 6.442311096191406250e+01 1.923746585845947266e+00 2.566556549072265625e+01 2.809963989257812500e+01 1.090982437133789062e+00 -7.200202345848083496e-02 1.285503482818603516e+01
1.196089535951614380e-01 1.185972881317138672e+01 5.503596878051757812e+01 6.722124481201171875e+01 2.792070007324218750e+01 -1.905139565467834473e+00 5.890961074829101562e+01 1.998064994812011719e+00 2.338087654113769531e+01 2.542043113708496094e+01 1.016739368438720703e+00 -1.061148345470428467e-01 1.285503482818603516e+01
1.257804334163665771e-01 1.143198108673095703e+01 5.501938247680664062e+01 6.645037078857421875e+01 2.693062400817871094e+01 6.159803390502929688e+00 5.847568511962890625e+01 1.809542179107666016e+00 2.285622596740722656e+01 2.458274459838867188e+01 8.358034491539001465e-01 1.734849810600280762e-01 1.285503482818603516e+01
1.321490257978439331e-01 1.039610576629638672e+01 4.970638656616210938e+01 5.935097122192382812e+01 2.151618003845214844e+01 2.047102451324462891e-01 5.226144409179687500e+01 1.142880678176879883e+00 2.062694168090820312e+01 2.208371353149414062e+01 5.314735770225524902e-01 -2.484191581606864929e-02 1.285503482818603516e+01
1.384563297033309937e-01 1.012625980377197266e+01 4.849211883544921875e+01 5.892273712158203125e+01 2.369078445434570312e+01 6.614292621612548828e+00 5.136449050903320312e+01 1.412598013877868652e+00 2.002161216735839844e+01 2.158681106567382812e+01 6.977624893188476562e-01 2.431026473641395569e-02 1.285503482818603516e+01
1.446497291326522827e-01 9.236121177673339844e+00 4.684877777099609375e+01 5.580866622924804688e+01 2.031701660156250000e+01 -7.977027893066406250e+00 4.897272491455078125e+01 1.139686584472656250e+00 1.864030456542968750e+01 1.980066680908203125e+01 5.366495847702026367e-01 -4.051231741905212402e-01 1.285503482818603516e+01
1.508535146713256836e-01 8.791983604431152344e+00 4.505301284790039062e+01 5.408565139770507812e+01 1.933487510681152344e+01 3.986713409423828125e+00 4.707189178466796875e+01 6.966610550880432129e-01 1.777400398254394531e+01 1.894950866699218750e+01 4.334369301795959473e-01 3.268522396683692932e-02 1.285503482818603516e+01
1.571729034185409546e-01 8.041651725769042969e+00 4.115966415405273438e+01 4.945466613769531250e+01 2.204914474487304688e+01 4.692226409912109375e+00 4.275378036499023438e+01 1.254070758819580078e+00 1.602286148071289062e+01 1.695428657531738281e+01 6.263894438743591309e-01 9.136129170656204224e-02 1.285503482818603516e+01
1.635417938232421875e-01 7.444749832153320312e+00 3.944300079345703125e+01 4.803945159912109375e+01 1.724131584167480469e+01 -2.533838510513305664e+00 4.120629119873046875e+01 5.553586483001708984e-01 1.507563781738281250e+01 1.602864646911621094e+01 3.125801980495452881e-01 -9.301830828189849854e-02 1.285503482818603516e+01
1.698256134986877441e-01 7.171651840209960938e+00 3.837326049804687500e+01 4.594154357910156250e+01 1.654791641235351562e+01 3.736604928970336914e+00 3.950910186767578125e+01 3.740321099758148193e-01 1.451269721984863281e+01 1.528017807006835938e+01 3.067361712455749512e-01 6.012042239308357239e-02 1.285503482818603516e+01
1.761013567447662354e-01 6.801248073577880859e+00 3.694724273681640625e+01 4.456214141845703125e+01 1.745034980773925781e+01 -5.709630966186523438e+00 3.795282745361328125e+01 6.890040636062622070e-01 1.374854850769042969e+01 1.446673202514648438e+01 4.465574920177459717e-01 -2.376196682453155518e-01 1.285503482818603516e+01
1.823998540639877319e-01 6.398631095886230469e+00 3.488964462280273438e+01 4.149268341064453125e+01 1.694567298889160156e+01 4.821365356445312500e+00 3.535116195678710938e+01 5.587365031242370605e-01 1.290823173522949219e+01 1.339524841308593750e+01 3.224641680717468262e-01 4.306127503514289856e-02 1.285503482818603516e+01
1.886507123708724976e-01 6.175198554992675781e+00 3.455923080444335938e+01 4.133934020996093750e+01 1.592206096649169922e+01 1.520549654960632324e+00 3.504196548461914062e+01 3.758317232131958008e-01 1.252625846862792969e+01 1.298895931243896484e+01 2.345038652420043945e-01 -2.202731557190418243e-02 1.285503482818603516e+01
1.949081569910049438e-01 5.923408031463623047e+00 3.387183380126953125e+01 4.006439208984375000e+01 1.375585651397705078e+01 4.647467136383056641e-01 3.398015594482421875e+01 1.176379770040512085e-01 1.213035202026367188e+01 1.245597553253173828e+01 1.852824836969375610e-01 -5.127339437603950500e-02 1.285503482818603516e+01
2.011425346136093140e-01 5.763726711273193359e+00 3.285648727416992188e+01 3.835696029663085938e+01 1.144004726409912109e+01 4.031878948211669922e+00 3.259188461303710938e+01 -2.900353670120239258e-01 1.172907066345214844e+01 1.190702819824218750e+01 -4.814062267541885376e-02 1.155331134796142578e-01 1.285503482818603516e+01
2.073954045772552490e-01 5.359653472900390625e+00 3.142954254150390625e+01 3.689318466186523438e+01 1.104102611541748047e+01 1.729304432868957520e+00 3.117977333068847656e+01 -2.154899090528488159e-01 1.098769378662109375e+01 1.113938903808593750e+01 -5.062761716544628143e-03 4.123713076114654541e-02 1.285503482818603516e+01
2.137389332056045532e-01 5.206225395202636719e+00 3.111896896362304688e+01 3.626647567749023438e+01 1.255032157897949219e+01 3.854612588882446289e+00 3.048900985717773438e+01 -1.117936745285987854e-01 1.076916408538818359e+01 1.080433082580566406e+01 1.311209201812744141e-01 7.457739859819412231e-02 1.285503482818603516e+01
2.200330942869186401e-01 4.982351303100585938e+00 3.014645957946777344e+01 3.551021194458007812e+01 1.192376613616943359e+01 3.954133272171020508e+00 2.951831817626953125e+01 -3.112696707248687744e-01 1.028640937805175781e+01 1.037029170989990234e+01 5.219666287302970886e-02 5.525058507919311523e-02 1.285503482818603516e+01
2.262930423021316528e-01 4.694521427154541016e+00 2.921093750000000000e+01 3.438709259033203125e+01 1.181730270385742188e+01 5.266250371932983398e-01 2.857288742065429688e+01 -9.230289608240127563e-02 9.749588012695312500e+00 9.753067016601562500e+00 5.000390857458114624e-02 -3.641390055418014526e-02 1.285503482818603516e+01
2.325985133647918701e-01 4.576964855194091797e+00 2.865555572509765625e+01 3.301749801635742188e+01 1.020374870300292969e+01 3.179778099060058594e+00 2.750397682189941406e+01 -3.405022323131561279e-01 9.467340469360351562e+00 9.334302902221679688e+00 -5.007792264223098755e-02 7.595593482255935669e-02 1.285503482818603516e+01
2.388891130685806274e-01 4.372235298156738281e+00 2.743066978454589844e+01 3.194930458068847656e+01 9.029059410095214844e+00 2.321204900741577148e+00 2.627120590209960938e+01 -6.416348218917846680e-01 9.014598846435546875e+00 8.892126083374023438e+00 -1.092245429754257202e-01 6.855186074972152710e-02 1.285503482818603516e+01
2.451218813657760620e-01 4.252404212951660156e+00 2.731559944152832031e+01 3.222207641601562500e+01 1.089335727691650391e+01 2.820526361465454102e+00 2.619485473632812500e+01 -4.194265902042388916e-01 8.838619232177734375e+00 8.719425201416015625e+00 -4.522038623690605164e-02 4.846340045332908630e-02 1.285503482818603516e+01
2.513737380504608154e-01 4.166946411132812500e+00 2.706011390686035156e+01 3.130541229248046875e+01 9.691512107849121094e+00 2.474503517150878906e+00 2.555587577819824219e+01 -4.872958064079284668e-01 8.683454513549804688e+00 8.432987213134765625e+00 -9.166028350591659546e-02 7.868245244026184082e-02 1.285503482818603516e+01
2.577070593833923340e-01 4.028042793273925781e+00 2.642184829711914062e+01 3.074437141418457031e+01 7.938285827636718750e+00 1.243922472000122070e+00 2.487998962402343750e+01 -7.726112604141235352e-01 8.403685569763183594e+00 8.114072799682617188e+00 -1.650557518005371094e-01 9.406976401805877686e-03 1.285503482818603516e+01
