# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 31
8.018244989216327667e-03 4.662756729125976562e+01 6.469018554687500000e+01 7.629994201660156250e+01
1.401655934751033783e-02 4.237265777587890625e+01 5.826832580566406250e+01 7.153266906738281250e+01
1.969251595437526703e-02 6.832339477539062500e+01 9.327957153320312500e+01 1.152258300781250000e+02
2.551339380443096161e-02 5.495060729980468750e+01 7.361868286132812500e+01 8.606417083740234375e+01
3.202908113598823547e-02 4.258669662475585938e+01 5.641375350952148438e+01 6.708685302734375000e+01
3.846523538231849670e-02 3.749799346923828125e+01 5.056444931030273438e+01 5.943491744995117188e+01
4.443310573697090149e-02 3.858573913574218750e+01 5.121945190429687500e+01 6.021182632446289062e+01
5.042308941483497620e-02 3.074179077148437500e+01 4.115167617797851562e+01 4.822144699096679688e+01
5.690929666161537170e-02 2.895094108581542969e+01 3.842739486694335938e+01 4.526561737060546875e+01
6.341847032308578491e-02 2.596022224426269531e+01 3.407419586181640625e+01 3.982112884521484375e+01
6.949992477893829346e-02 2.437425994873046875e+01 3.215437316894531250e+01 3.759283065795898438e+01
7.558133453130722046e-02 2.126822471618652344e+01 2.853921508789062500e+01 3.291584014892578125e+01
8.196274191141128540e-02 2.048454284667968750e+01 2.706185722351074219e+01 3.165279197692871094e+01
8.830232173204421997e-02 1.794415473937988281e+01 2.392630577087402344e+01 2.784731864929199219e+01
9.435217082500457764e-02 1.555418491363525391e+01 2.073366737365722656e+01 2.404176330566406250e+01
1.005600690841674805e-01 1.368429279327392578e+01 1.812890052795410156e+01 2.103642654418945312e+01
1.070138886570930481e-01 1.224793052673339844e+01 1.639951324462890625e+01 1.917720222473144531e+01
1.134273484349250793e-01 1.170777893066406250e+01 1.562834358215332031e+01 1.793827438354492188e+01
1.196089535951614380e-01 1.119163227081298828e+01 1.487537288665771484e+01 1.708755493164062500e+01
1.257804334163665771e-01 1.076332664489746094e+01 1.436445617675781250e+01 1.640088653564453125e+01
1.321490257978439331e-01 9.967693328857421875e+00 1.317912101745605469e+01 1.497817802429199219e+01
1.384563297033309937e-01 9.676573753356933594e+00 1.286695575714111328e+01 1.450272941589355469e+01
1.446497291326522827e-01 8.709715843200683594e+00 1.156235790252685547e+01 1.299595069885253906e+01
1.508535146713256836e-01 8.318869590759277344e+00 1.095751953125000000e+01 1.235316848754882812e+01
1.571729034185409546e-01 7.463473796844482422e+00 9.803208351135253906e+00 1.097119426727294922e+01
1.635417938232421875e-01 7.027965545654296875e+00 9.263575553894042969e+00 1.041631221771240234e+01
1.698256134986877441e-01 6.795393943786621094e+00 9.011291503906250000e+00 1.000783061981201172e+01
1.761013567447662354e-01 6.377576351165771484e+00 8.309676170349121094e+00 9.225494384765625000e+00
1.823998540639877319e-01 6.060681343078613281e+00 7.913121700286865234e+00 8.670199394226074219e+00
1.886507123708724976e-01 5.933968067169189453e+00 7.786000251770019531e+00 8.538105964660644531e+00
1.949081569910049438e-01 5.581336021423339844e+00 7.256064414978027344e+00 7.888066291809082031e+00
2.011425346136093140e-01 5.415939807891845703e+00 7.068518638610839844e+00 7.651814460754394531e+00
2.073954045772552490e-01 5.301522254943847656e+00 6.862476348876953125e+00 7.425000190734863281e+00
2.137389332056045532e-01 4.970101356506347656e+00 6.445818424224853516e+00 6.881081104278564453e+00
2.200330942869186401e-01 4.690692901611328125e+00 6.074335575103759766e+00 6.509025573730468750e+00
2.262930423021316528e-01 4.478945255279541016e+00 5.826410293579101562e+00 6.219832897186279297e+00
2.325985133647918701e-01 4.290947914123535156e+00 5.526867866516113281e+00 5.816052436828613281e+00
2.388891130685806274e-01 4.122939109802246094e+00 5.290099143981933594e+00 5.586543083190917969e+00
2.451218813657760620e-01 3.941410779953002930e+00 5.036436080932617188e+00 5.246490955352783203e+00
2.513737380504608154e-01 3.936995029449462891e+00 5.060773372650146484e+00 5.212532043457031250e+00
2.577070593833923340e-01 3.677831411361694336e+00 4.727221012115478516e+00 4.844357490539550781e+00
2.640204429626464844e-01 3.676052808761596680e+00 4.708281993865966797e+00 4.827078819274902344e+00
2.702898085117340088e-01 3.536702871322631836e+00 4.512725353240966797e+00 4.543526172637939453e+00
2.765615284442901611e-01 3.414029836654663086e+00 4.355761051177978516e+00 4.389907360076904297e+00
2.828698754310607910e-01 3.272977352142333984e+00 4.174551963806152344e+00 4.182768344879150391e+00
2.891486585140228271e-01 3.173513412475585938e+00 4.017642498016357422e+00 3.983649730682373047e+00
2.953523397445678711e-01 3.027484416961669922e+00 3.846231222152709961e+00 3.769006252288818359e+00
3.016075491905212402e-01 3.003566026687622070e+00 3.799297809600830078e+00 3.679970264434814453e+00
3.079382479190826416e-01 2.929495573043823242e+00 3.708389282226562500e+00 3.570017337799072266e+00
3.142760396003723145e-01 2.852825164794921875e+00 3.597398042678833008e+00 3.474808692932128906e+00
3.205462992191314697e-01 2.818462133407592773e+00 3.523648738861083984e+00 3.349744319915771484e+00
3.268128037452697754e-01 2.681481361389160156e+00 3.354345560073852539e+00 3.158927679061889648e+00
3.331238031387329102e-01 2.633079528808593750e+00 3.280400276184082031e+00 3.054664373397827148e+00
3.394046723842620850e-01 2.560238122940063477e+00 3.211135864257812500e+00 2.970631599426269531e+00
3.456391692161560059e-01 2.489183902740478516e+00 3.119029283523559570e+00 2.874401092529296875e+00
3.518808186054229736e-01 2.442533969879150391e+00 3.039349555969238281e+00 2.772258758544921875e+00
3.582032322883605957e-01 2.380024194717407227e+00 2.953639984130859375e+00 2.664583683013916016e+00
