# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 12
2.513737380504608154e-01 3.873706579208374023e+00 5.050617218017578125e+00 5.279546737670898438e+00
2.577070593833923340e-01 3.687255859375000000e+00 4.764254570007324219e+00 4.947311401367187500e+00
2.640204429626464844e-01 3.622020483016967773e+00 4.671680450439453125e+00 4.818735122680664062e+00
2.702898085117340088e-01 3.399411916732788086e+00 4.373039245605468750e+00 4.475432395935058594e+00
2.765615284442901611e-01 3.341273546218872070e+00 4.312818050384521484e+00 4.390158653259277344e+00
2.828698754310607910e-01 3.223336935043334961e+00 4.129600524902343750e+00 4.156707286834716797e+00
2.891486585140228271e-01 3.137403726577758789e+00 4.006279945373535156e+00 4.014716148376464844e+00
2.953523397445678711e-01 3.010831356048583984e+00 3.842756271362304688e+00 3.788167715072631836e+00
3.016075491905212402e-01 2.970853090286254883e+00 3.796262741088867188e+00 3.751194477081298828e+00
3.079382479190826416e-01 2.894253969192504883e+00 3.691252470016479492e+00 3.605629444122314453e+00
3.142760396003723145e-01 2.779745340347290039e+00 3.535358667373657227e+00 3.422652959823608398e+00
3.205462992191314697e-01 2.697372674942016602e+00 3.450868368148803711e+00 3.317479848861694336e+00
3.268128037452697754e-01 2.663707971572875977e+00 3.383511781692504883e+00 3.210515737533569336e+00
3.331238031387329102e-01 2.594740390777587891e+00 3.294873237609863281e+00 3.115280628204345703e+00
3.394046723842620850e-01 2.536059379577636719e+00 3.201589345932006836e+00 2.998299121856689453e+00
3.456391692161560059e-01 2.440931081771850586e+00 3.062118768692016602e+00 2.865477800369262695e+00
3.518808186054229736e-01 2.408859014511108398e+00 3.026716232299804688e+00 2.789337635040283203e+00
3.582032322883605957e-01 2.344190597534179688e+00 2.976940393447875977e+00 2.731839895248413086e+00
3.645117878913879395e-01 2.308160066604614258e+00 2.901152133941650391e+00 2.627737760543823242e+00
3.707640767097473145e-01 2.239830732345581055e+00 2.794555664062500000e+00 2.500832557678222656e+00
3.770540952682495117e-01 2.202687978744506836e+00 2.757028818130493164e+00 2.454289197921752930e+00
3.833588361740112305e-01 2.140179872512817383e+00 2.678802967071533203e+00 2.365680456161499023e+00
3.896513879299163818e-01 2.096232652664184570e+00 2.617521047592163086e+00 2.276264667510986328e+00
