# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 28
8.018244989216327667e-03 4.480135726928710938e+01 5.976316833496093750e+01 7.480053710937500000e+01
1.401655934751033783e-02 7.223126983642578125e+01 9.755682373046875000e+01 1.169470443725585938e+02
1.969251595437526703e-02 7.320151519775390625e+01 9.825650024414062500e+01 1.178690872192382812e+02
2.551339380443096161e-02 5.925650405883789062e+01 7.833056640625000000e+01 9.466701507568359375e+01
3.202908113598823547e-02 4.464231491088867188e+01 6.012699890136718750e+01 7.130621337890625000e+01
3.846523538231849670e-02 4.039592361450195312e+01 5.457954406738281250e+01 6.475463104248046875e+01
4.443310573697090149e-02 3.603806686401367188e+01 4.846091461181640625e+01 5.698370361328125000e+01
5.042308941483497620e-02 3.029724121093750000e+01 4.036060333251953125e+01 4.797982025146484375e+01
5.690929666161537170e-02 2.773295783996582031e+01 3.707913970947265625e+01 4.383985900878906250e+01
6.341847032308578491e-02 2.498586273193359375e+01 3.331034851074218750e+01 3.893373107910156250e+01
6.949992477893829346e-02 2.405238723754882812e+01 3.242242431640625000e+01 3.785098266601562500e+01
7.558133453130722046e-02 2.206490707397460938e+01 2.940734863281250000e+01 3.426682281494140625e+01
8.196274191141128540e-02 2.011314201354980469e+01 2.684763145446777344e+01 3.120806694030761719e+01
8.830232173204421997e-02 1.742860794067382812e+01 2.331910705566406250e+01 2.718618583679199219e+01
9.435217082500457764e-02 1.485447406768798828e+01 1.993687629699707031e+01 2.323440742492675781e+01
1.005600690841674805e-01 1.389435958862304688e+01 1.846157646179199219e+01 2.133519554138183594e+01
1.070138886570930481e-01 1.280005455017089844e+01 1.687930107116699219e+01 1.948136138916015625e+01
1.134273484349250793e-01 1.134842014312744141e+01 1.515757751464843750e+01 1.742544364929199219e+01
1.196089535951614380e-01 1.108115768432617188e+01 1.473120975494384766e+01 1.689432907104492188e+01
1.257804334163665771e-01 1.068951988220214844e+01 1.429696559906005859e+01 1.626352500915527344e+01
1.321490257978439331e-01 1.022264099121093750e+01 1.351360034942626953e+01 1.529735660552978516e+01
1.384563297033309937e-01 9.383359909057617188e+00 1.247557067871093750e+01 1.411324977874755859e+01
1.446497291326522827e-01 8.894122123718261719e+00 1.177808952331542969e+01 1.322341728210449219e+01
1.508535146713256836e-01 8.279219627380371094e+00 1.092849731445312500e+01 1.229915428161621094e+01
1.571729034185409546e-01 7.273326873779296875e+00 9.546260833740234375e+00 1.074208354949951172e+01
1.635417938232421875e-01 7.102424621582031250e+00 9.424629211425781250e+00 1.051904392242431641e+01
1.698256134986877441e-01 6.665773391723632812e+00 8.831157684326171875e+00 9.819341659545898438e+00
1.761013567447662354e-01 6.314571380615234375e+00 8.335237503051757812e+00 9.219752311706542969e+00
1.823998540639877319e-01 6.134801387786865234e+00 8.090904235839843750e+00 8.845526695251464844e+00
1.886507123708724976e-01 5.880537509918212891e+00 7.748030185699462891e+00 8.481940269470214844e+00
1.949081569910049438e-01 5.676454544067382812e+00 7.418034076690673828e+00 8.010277748107910156e+00
2.011425346136093140e-01 5.291900157928466797e+00 6.948528289794921875e+00 7.478563785552978516e+00
2.073954045772552490e-01 5.077009677886962891e+00 6.619606494903564453e+00 7.079919815063476562e+00
2.137389332056045532e-01 4.797717571258544922e+00 6.277687072753906250e+00 6.714847564697265625e+00
2.200330942869186401e-01 4.713732242584228516e+00 6.129233837127685547e+00 6.504064083099365234e+00
2.262930423021316528e-01 4.447871685028076172e+00 5.754202842712402344e+00 6.069186210632324219e+00
2.325985133647918701e-01 4.211442470550537109e+00 5.449251174926757812e+00 5.712888717651367188e+00
2.388891130685806274e-01 4.166229248046875000e+00 5.426744937896728516e+00 5.665524482727050781e+00
2.451218813657760620e-01 3.933906555175781250e+00 5.072319984436035156e+00 5.221822261810302734e+00
2.513737380504608154e-01 3.880763769149780273e+00 4.962946414947509766e+00 5.095715522766113281e+00
2.577070593833923340e-01 3.697636842727661133e+00 4.806996345520019531e+00 4.921535968780517578e+00
2.640204429626464844e-01 3.593644142150878906e+00 4.689321041107177734e+00 4.743896007537841797e+00
2.702898085117340088e-01 3.479749917984008789e+00 4.458249092102050781e+00 4.474297046661376953e+00
2.765615284442901611e-01 3.371941804885864258e+00 4.300350189208984375e+00 4.275547027587890625e+00
2.828698754310607910e-01 3.278524398803710938e+00 4.181915760040283203e+00 4.148606300354003906e+00
2.891486585140228271e-01 3.155417919158935547e+00 4.040798664093017578e+00 3.969800472259521484e+00
2.953523397445678711e-01 3.063153028488159180e+00 3.912237405776977539e+00 3.831534385681152344e+00
3.016075491905212402e-01 3.018771409988403320e+00 3.830020189285278320e+00 3.758920431137084961e+00
3.079382479190826416e-01 2.896944046020507812e+00 3.700490236282348633e+00 3.530033111572265625e+00
