# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 2
8.018244989216327667e-03 3.132127189636230469e+01 4.467704010009765625e+01 5.250468063354492188e+01
1.401655934751033783e-02 4.591147994995117188e+01 6.360429382324218750e+01 7.536959838867187500e+01
1.969251595437526703e-02 4.782432174682617188e+01 6.673760986328125000e+01 7.834570312500000000e+01
2.551339380443096161e-02 5.345091247558593750e+01 7.400269317626953125e+01 8.974340820312500000e+01
3.202908113598823547e-02 4.921642684936523438e+01 6.946504211425781250e+01 8.206709289550781250e+01
3.846523538231849670e-02 3.922396850585937500e+01 5.484231948852539062e+01 6.415235900878906250e+01
4.443310573697090149e-02 3.209592437744140625e+01 4.455347824096679688e+01 5.183186721801757812e+01
5.042308941483497620e-02 3.026353454589843750e+01 4.238922882080078125e+01 4.947507476806640625e+01
5.690929666161537170e-02 2.512562751770019531e+01 3.493873214721679688e+01 4.078680801391601562e+01
6.341847032308578491e-02 2.503552055358886719e+01 3.526771545410156250e+01 4.115846633911132812e+01
6.949992477893829346e-02 2.205042076110839844e+01 3.126148986816406250e+01 3.629368972778320312e+01
7.558133453130722046e-02 2.141805839538574219e+01 3.017379951477050781e+01 3.474300003051757812e+01
8.196274191141128540e-02 1.779751205444335938e+01 2.482298469543457031e+01 2.864335823059082031e+01
8.830232173204421997e-02 1.604737281799316406e+01 2.251416206359863281e+01 2.581676864624023438e+01
9.435217082500457764e-02 1.363361549377441406e+01 1.928716278076171875e+01 2.220831680297851562e+01
1.005600690841674805e-01 1.270946693420410156e+01 1.779726409912109375e+01 2.048921585083007812e+01
1.070138886570930481e-01 1.146245765686035156e+01 1.613145256042480469e+01 1.852194404602050781e+01
1.134273484349250793e-01 1.096748924255371094e+01 1.538686084747314453e+01 1.764927673339843750e+01
1.196089535951614380e-01 1.029688262939453125e+01 1.436084270477294922e+01 1.638541030883789062e+01
1.257804334163665771e-01 9.923268318176269531e+00 1.396762752532958984e+01 1.575586223602294922e+01
