# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 12
8.018244989216327667e-03 6.710301971435546875e+01 8.903812408447265625e+01 1.003292465209960938e+02
1.401655934751033783e-02 5.545085525512695312e+01 7.720433044433593750e+01 8.900468444824218750e+01
1.969251595437526703e-02 4.370050048828125000e+01 6.227992248535156250e+01 7.334488677978515625e+01
2.551339380443096161e-02 5.395373916625976562e+01 7.484594726562500000e+01 8.945524597167968750e+01
3.202908113598823547e-02 4.544742202758789062e+01 6.195880126953125000e+01 7.192885589599609375e+01
3.846523538231849670e-02 3.730885696411132812e+01 5.208301925659179688e+01 6.040605163574218750e+01
4.443310573697090149e-02 2.980677413940429688e+01 4.263780975341796875e+01 5.054803085327148438e+01
5.042308941483497620e-02 2.805617332458496094e+01 3.947527694702148438e+01 4.608775329589843750e+01
5.690929666161537170e-02 2.683308219909667969e+01 3.772038650512695312e+01 4.331724929809570312e+01
6.341847032308578491e-02 2.376145553588867188e+01 3.382727432250976562e+01 3.923801803588867188e+01
6.949992477893829346e-02 2.295208549499511719e+01 3.229481887817382812e+01 3.764755249023437500e+01
7.558133453130722046e-02 2.147461509704589844e+01 3.035482978820800781e+01 3.521400833129882812e+01
8.196274191141128540e-02 1.836134910583496094e+01 2.582343673706054688e+01 2.973093414306640625e+01
8.830232173204421997e-02 1.604074668884277344e+01 2.279546928405761719e+01 2.641218757629394531e+01
9.435217082500457764e-02 1.459191131591796875e+01 2.064914703369140625e+01 2.371766281127929688e+01
1.005600690841674805e-01 1.276086616516113281e+01 1.787009239196777344e+01 2.056742477416992188e+01
1.070138886570930481e-01 1.181982517242431641e+01 1.644973564147949219e+01 1.906456756591796875e+01
1.134273484349250793e-01 1.082379436492919922e+01 1.504747390747070312e+01 1.729101181030273438e+01
1.196089535951614380e-01 1.015495872497558594e+01 1.429539966583251953e+01 1.629577255249023438e+01
1.257804334163665771e-01 9.829278945922851562e+00 1.384543418884277344e+01 1.573863697052001953e+01
1.321490257978439331e-01 9.689388275146484375e+00 1.363407897949218750e+01 1.551772022247314453e+01
1.384563297033309937e-01 8.724102973937988281e+00 1.227925014495849609e+01 1.384149265289306641e+01
1.446497291326522827e-01 8.242898941040039062e+00 1.150025558471679688e+01 1.289445304870605469e+01
1.508535146713256836e-01 7.626523494720458984e+00 1.067852401733398438e+01 1.197381591796875000e+01
