# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 31
8.018244989216327667e-03 4.605753326416015625e+01 6.764163970947265625e+01 7.906649780273437500e+01
1.401655934751033783e-02 4.127853775024414062e+01 5.860141372680664062e+01 7.148647308349609375e+01
1.969251595437526703e-02 6.607271575927734375e+01 9.462960815429687500e+01 1.157623825073242188e+02
2.551339380443096161e-02 5.286288070678710938e+01 7.357000732421875000e+01 8.550897216796875000e+01
3.202908113598823547e-02 4.073920822143554688e+01 5.652013778686523438e+01 6.669281768798828125e+01
3.846523538231849670e-02 3.572904968261718750e+01 5.024627685546875000e+01 5.868036651611328125e+01
4.443310573697090149e-02 3.667805099487304688e+01 5.086755752563476562e+01 5.940290451049804688e+01
5.042308941483497620e-02 2.917531585693359375e+01 4.090253829956054688e+01 4.758284378051757812e+01
5.690929666161537170e-02 2.748253250122070312e+01 3.815259552001953125e+01 4.463169479370117188e+01
6.341847032308578491e-02 2.463044357299804688e+01 3.395259475708007812e+01 3.939533996582031250e+01
6.949992477893829346e-02 2.309569740295410156e+01 3.187321853637695312e+01 3.703570938110351562e+01
7.558133453130722046e-02 2.012403297424316406e+01 2.819949722290039062e+01 3.231985855102539062e+01
8.196274191141128540e-02 1.934112739562988281e+01 2.686798667907714844e+01 3.122029304504394531e+01
8.830232173204421997e-02 1.690903472900390625e+01 2.373756408691406250e+01 2.744255828857421875e+01
9.435217082500457764e-02 1.462483406066894531e+01 2.047517967224121094e+01 2.361568450927734375e+01
1.005600690841674805e-01 1.286188030242919922e+01 1.787855529785156250e+01 2.062267875671386719e+01
1.070138886570930481e-01 1.150171661376953125e+01 1.611395072937011719e+01 1.874229240417480469e+01
1.134273484349250793e-01 1.100828456878662109e+01 1.537096881866455078e+01 1.756263160705566406e+01
1.196089535951614380e-01 1.052522087097167969e+01 1.470589733123779297e+01 1.680414962768554688e+01
1.257804334163665771e-01 1.012289142608642578e+01 1.415691471099853516e+01 1.608444404602050781e+01
1.321490257978439331e-01 9.364845275878906250e+00 1.303357219696044922e+01 1.472948169708251953e+01
1.384563297033309937e-01 9.085374832153320312e+00 1.268060493469238281e+01 1.424240684509277344e+01
1.446497291326522827e-01 8.161209106445312500e+00 1.135985279083251953e+01 1.273614597320556641e+01
1.508535146713256836e-01 7.779832839965820312e+00 1.081763076782226562e+01 1.215061473846435547e+01
1.571729034185409546e-01 6.972893238067626953e+00 9.674813270568847656e+00 1.079057979583740234e+01
1.635417938232421875e-01 6.563105106353759766e+00 9.116525650024414062e+00 1.021381855010986328e+01
1.698256134986877441e-01 6.349375247955322266e+00 8.849212646484375000e+00 9.804912567138671875e+00
1.761013567447662354e-01 5.954340457916259766e+00 8.181118011474609375e+00 9.058848381042480469e+00
1.823998540639877319e-01 5.664364337921142578e+00 7.806044101715087891e+00 8.528333663940429688e+00
1.886507123708724976e-01 5.544402122497558594e+00 7.674050331115722656e+00 8.396451950073242188e+00
1.949081569910049438e-01 5.207508087158203125e+00 7.138827800750732422e+00 7.742273807525634766e+00
2.011425346136093140e-01 5.053629398345947266e+00 6.946663379669189453e+00 7.512750148773193359e+00
2.073954045772552490e-01 4.939872741699218750e+00 6.737076282501220703e+00 7.288623809814453125e+00
2.137389332056045532e-01 4.623791217803955078e+00 6.338802814483642578e+00 6.767038822174072266e+00
2.200330942869186401e-01 4.359998226165771484e+00 5.984013557434082031e+00 6.410387516021728516e+00
2.262930423021316528e-01 4.161022186279296875e+00 5.723627567291259766e+00 6.112956047058105469e+00
2.325985133647918701e-01 3.985692739486694336e+00 5.440186977386474609e+00 5.737483978271484375e+00
2.388891130685806274e-01 3.826105833053588867e+00 5.199900627136230469e+00 5.495813846588134766e+00
2.451218813657760620e-01 3.657952547073364258e+00 4.950130939483642578e+00 5.167702674865722656e+00
2.513737380504608154e-01 3.652851343154907227e+00 4.974705696105957031e+00 5.139341831207275391e+00
2.577070593833923340e-01 3.413116455078125000e+00 4.647726535797119141e+00 4.770275592803955078e+00
2.640204429626464844e-01 3.408329963684082031e+00 4.634017944335937500e+00 4.765034198760986328e+00
2.702898085117340088e-01 3.278754472732543945e+00 4.437335968017578125e+00 4.484683990478515625e+00
2.765615284442901611e-01 3.159168958663940430e+00 4.276130199432373047e+00 4.332234382629394531e+00
2.828698754310607910e-01 3.027250528335571289e+00 4.103716373443603516e+00 4.128320217132568359e+00
2.891486585140228271e-01 2.933112382888793945e+00 3.936097621917724609e+00 3.926134824752807617e+00
2.953523397445678711e-01 2.798613786697387695e+00 3.787919998168945312e+00 3.732894182205200195e+00
