# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 7
4.461484551429748535e-01 8.039578795433044434e-01 1.806412577629089355e+00 1.536572456359863281e+00
4.524188637733459473e-01 7.832624316215515137e-01 1.762595295906066895e+00 1.482280969619750977e+00
4.587154984474182129e-01 7.817884683609008789e-01 1.765360593795776367e+00 1.471409201622009277e+00
4.650256633758544922e-01 7.526478767395019531e-01 1.704095005989074707e+00 1.412120819091796875e+00
4.713141322135925293e-01 7.451748251914978027e-01 1.688925266265869141e+00 1.378292083740234375e+00
4.775804579257965088e-01 7.294023036956787109e-01 1.654091358184814453e+00 1.337257623672485352e+00
4.838812351226806641e-01 7.216843962669372559e-01 1.641189336776733398e+00 1.332130670547485352e+00
4.901502430438995361e-01 6.953161954879760742e-01 1.575572490692138672e+00 1.261258244514465332e+00
4.963996410369873047e-01 6.973026990890502930e-01 1.595150232315063477e+00 1.267424941062927246e+00
5.026662349700927734e-01 6.766089797019958496e-01 1.542133092880249023e+00 1.212480902671813965e+00
5.089647173881530762e-01 6.667317152023315430e-01 1.523982644081115723e+00 1.188870072364807129e+00
5.152750611305236816e-01 6.507568955421447754e-01 1.484228730201721191e+00 1.154179334640502930e+00
5.215665102005004883e-01 6.409733295440673828e-01 1.475805521011352539e+00 1.142658352851867676e+00
5.278289914131164551e-01 6.350929737091064453e-01 1.456345558166503906e+00 1.109351396560668945e+00
5.341163873672485352e-01 6.201363801956176758e-01 1.432342290878295898e+00 1.075641870498657227e+00
5.404307842254638672e-01 6.118891239166259766e-01 1.407670259475708008e+00 1.053941488265991211e+00
5.466980934143066406e-01 5.957884192466735840e-01 1.368949294090270996e+00 1.026693224906921387e+00
5.529599189758300781e-01 5.930759310722351074e-01 1.368182301521301270e+00 1.005673527717590332e+00
5.592443943023681641e-01 5.787221193313598633e-01 1.333502531051635742e+00 9.750582575798034668e-01
5.655549764633178711e-01 5.730400085449218750e-01 1.324541568756103516e+00 9.542484879493713379e-01
5.718548893928527832e-01 5.644236207008361816e-01 1.304404020309448242e+00 9.390932917594909668e-01
5.781230330467224121e-01 5.518627166748046875e-01 1.278041005134582520e+00 9.069625139236450195e-01
5.844058990478515625e-01 5.482779145240783691e-01 1.267702341079711914e+00 8.970921635627746582e-01
5.906696915626525879e-01 5.359129309654235840e-01 1.246816158294677734e+00 8.745315670967102051e-01
5.969164371490478516e-01 5.311543345451354980e-01 1.237719416618347168e+00 8.581844568252563477e-01
6.031712889671325684e-01 5.267186760902404785e-01 1.226885676383972168e+00 8.440750837326049805e-01
6.094692349433898926e-01 5.124070048332214355e-01 1.196547150611877441e+00 8.134512901306152344e-01
6.158122420310974121e-01 5.098981857299804688e-01 1.189373612403869629e+00 8.011789917945861816e-01
6.221026778221130371e-01 4.984604120254516602e-01 1.166117191314697266e+00 7.787646055221557617e-01
6.283664703369140625e-01 4.915027022361755371e-01 1.149056434631347656e+00 7.656605243682861328e-01
