# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 19
8.018244989216327667e-03 2.432313156127929688e+01 4.639492416381835938e+01 5.122505950927734375e+01
1.401655934751033783e-02 3.465814208984375000e+01 6.713896942138671875e+01 7.825250244140625000e+01
1.969251595437526703e-02 3.290298843383789062e+01 6.387597656250000000e+01 7.208208465576171875e+01
2.551339380443096161e-02 3.530017852783203125e+01 6.695375061035156250e+01 7.744409942626953125e+01
3.202908113598823547e-02 2.621514129638671875e+01 4.951020050048828125e+01 5.747413253784179688e+01
3.846523538231849670e-02 2.419313049316406250e+01 4.622741317749023438e+01 5.334526443481445312e+01
4.443310573697090149e-02 1.932254791259765625e+01 3.690497207641601562e+01 4.243083190917968750e+01
5.042308941483497620e-02 1.729323959350585938e+01 3.310891342163085938e+01 3.800996398925781250e+01
5.690929666161537170e-02 1.681006240844726562e+01 3.227870941162109375e+01 3.698487472534179688e+01
6.341847032308578491e-02 1.598905658721923828e+01 3.050275611877441406e+01 3.527345657348632812e+01
6.949992477893829346e-02 1.470154380798339844e+01 2.820808029174804688e+01 3.210935592651367188e+01
7.558133453130722046e-02 1.296469879150390625e+01 2.505275917053222656e+01 2.848327636718750000e+01
8.196274191141128540e-02 1.182078647613525391e+01 2.274371910095214844e+01 2.574510765075683594e+01
8.830232173204421997e-02 1.014615726470947266e+01 1.963556289672851562e+01 2.211268234252929688e+01
9.435217082500457764e-02 9.026109695434570312e+00 1.736788368225097656e+01 1.972965621948242188e+01
1.005600690841674805e-01 7.835800170898437500e+00 1.504243183135986328e+01 1.715998268127441406e+01
1.070138886570930481e-01 7.619719982147216797e+00 1.475461483001708984e+01 1.663911247253417969e+01
1.134273484349250793e-01 6.676402091979980469e+00 1.286626911163330078e+01 1.447573471069335938e+01
1.196089535951614380e-01 6.458774566650390625e+00 1.262822341918945312e+01 1.421149349212646484e+01
1.257804334163665771e-01 6.173245429992675781e+00 1.200732326507568359e+01 1.350183486938476562e+01
1.321490257978439331e-01 5.877052307128906250e+00 1.145120239257812500e+01 1.278544235229492188e+01
1.384563297033309937e-01 5.431849002838134766e+00 1.069196319580078125e+01 1.188309383392333984e+01
1.446497291326522827e-01 5.105798721313476562e+00 9.989832878112792969e+00 1.114909458160400391e+01
1.508535146713256836e-01 4.707810401916503906e+00 9.222690582275390625e+00 1.021972084045410156e+01
1.571729034185409546e-01 4.270262241363525391e+00 8.382092475891113281e+00 9.230091094970703125e+00
1.635417938232421875e-01 4.047051906585693359e+00 8.001554489135742188e+00 8.750811576843261719e+00
1.698256134986877441e-01 3.856369972229003906e+00 7.594654083251953125e+00 8.318877220153808594e+00
1.761013567447662354e-01 3.589199781417846680e+00 7.071499824523925781e+00 7.753827571868896484e+00
1.823998540639877319e-01 3.442036151885986328e+00 6.806110858917236328e+00 7.392872810363769531e+00
1.886507123708724976e-01 3.299411058425903320e+00 6.490924835205078125e+00 7.053088188171386719e+00
1.949081569910049438e-01 3.180211305618286133e+00 6.341755390167236328e+00 6.828329563140869141e+00
2.011425346136093140e-01 2.953238725662231445e+00 5.856108665466308594e+00 6.272382259368896484e+00
2.073954045772552490e-01 2.931597471237182617e+00 5.846362590789794922e+00 6.241133213043212891e+00
2.137389332056045532e-01 2.731238603591918945e+00 5.444170951843261719e+00 5.799299240112304688e+00
2.200330942869186401e-01 2.600321769714355469e+00 5.181755065917968750e+00 5.510847091674804688e+00
2.262930423021316528e-01 2.448250055313110352e+00 4.891904830932617188e+00 5.181708812713623047e+00
2.325985133647918701e-01 2.371279716491699219e+00 4.750426292419433594e+00 5.008846282958984375e+00
2.388891130685806274e-01 2.268516302108764648e+00 4.546018123626708984e+00 4.770112037658691406e+00
2.451218813657760620e-01 2.264226675033569336e+00 4.543453216552734375e+00 4.738127231597900391e+00
2.513737380504608154e-01 2.086695909500122070e+00 4.190433502197265625e+00 4.361307144165039062e+00
2.577070593833923340e-01 2.031816959381103516e+00 4.106659889221191406e+00 4.237393856048583984e+00
2.640204429626464844e-01 2.007169008255004883e+00 4.038499832153320312e+00 4.151027202606201172e+00
2.702898085117340088e-01 1.882334589958190918e+00 3.789355516433715820e+00 3.859522819519042969e+00
2.765615284442901611e-01 1.831292510032653809e+00 3.706502199172973633e+00 3.772334575653076172e+00
2.828698754310607910e-01 1.753853321075439453e+00 3.535260677337646484e+00 3.572065353393554688e+00
2.891486585140228271e-01 1.693009376525878906e+00 3.426758050918579102e+00 3.450649976730346680e+00
2.953523397445678711e-01 1.623556375503540039e+00 3.294044017791748047e+00 3.288236141204833984e+00
3.016075491905212402e-01 1.572849512100219727e+00 3.196177721023559570e+00 3.180784463882446289e+00
3.079382479190826416e-01 1.540783643722534180e+00 3.134494781494140625e+00 3.111217737197875977e+00
3.142760396003723145e-01 1.502442598342895508e+00 3.058888673782348633e+00 3.012083530426025391e+00
3.205462992191314697e-01 1.464369297027587891e+00 2.986990451812744141e+00 2.911162853240966797e+00
3.268128037452697754e-01 1.404171347618103027e+00 2.877506494522094727e+00 2.783717393875122070e+00
3.331238031387329102e-01 1.371038436889648438e+00 2.794335603713989258e+00 2.680899381637573242e+00
3.394046723842620850e-01 1.303349018096923828e+00 2.667493820190429688e+00 2.543828248977661133e+00
3.456391692161560059e-01 1.280708193778991699e+00 2.636536121368408203e+00 2.500892639160156250e+00
3.518808186054229736e-01 1.252422451972961426e+00 2.572457551956176758e+00 2.429372549057006836e+00
3.582032322883605957e-01 1.220897436141967773e+00 2.516893148422241211e+00 2.368613004684448242e+00
3.645117878913879395e-01 1.190736532211303711e+00 2.446671009063720703e+00 2.276932954788208008e+00
3.707640767097473145e-01 1.157848834991455078e+00 2.383411645889282227e+00 2.219343662261962891e+00
3.770540952682495117e-01 1.131944298744201660e+00 2.328697681427001953e+00 2.143150568008422852e+00
3.833588361740112305e-01 1.104394435882568359e+00 2.294492483139038086e+00 2.076009035110473633e+00
3.896513879299163818e-01 1.079809069633483887e+00 2.245120525360107422e+00 2.018394947052001953e+00
3.958770036697387695e-01 1.051626205444335938e+00 2.179083585739135742e+00 1.954267263412475586e+00
4.021126329898834229e-01 1.011805295944213867e+00 2.097182035446166992e+00 1.856683135032653809e+00
4.084537327289581299e-01 1.009463191032409668e+00 2.090081453323364258e+00 1.835578680038452148e+00
4.147696197032928467e-01 9.855139851570129395e-01 2.046079874038696289e+00 1.780469536781311035e+00
4.210544228553771973e-01 9.626157283782958984e-01 2.001641511917114258e+00 1.726469039916992188e+00
4.273288547992706299e-01 9.351261258125305176e-01 1.947229504585266113e+00 1.673897624015808105e+00
4.336213767528533936e-01 9.195198416709899902e-01 1.912935853004455566e+00 1.618255972862243652e+00
4.399181902408599854e-01 9.037253260612487793e-01 1.887705326080322266e+00 1.598834991455078125e+00
4.461484551429748535e-01 8.735457062721252441e-01 1.818661570549011230e+00 1.522234916687011719e+00
4.524188637733459473e-01 8.628423810005187988e-01 1.811274051666259766e+00 1.497915148735046387e+00
4.587154984474182129e-01 8.464135527610778809e-01 1.780800938606262207e+00 1.474795222282409668e+00
4.650256633758544922e-01 8.338885903358459473e-01 1.742622375488281250e+00 1.435662508010864258e+00
4.713141322135925293e-01 8.173180818557739258e-01 1.720661759376525879e+00 1.401833534240722656e+00
4.775804579257965088e-01 7.955282330513000488e-01 1.672899365425109863e+00 1.359123587608337402e+00
4.838812351226806641e-01 7.800282239913940430e-01 1.645726799964904785e+00 1.310771107673645020e+00
4.901502430438995361e-01 7.697323560714721680e-01 1.615913510322570801e+00 1.275799155235290527e+00
4.963996410369873047e-01 7.563354969024658203e-01 1.594457507133483887e+00 1.249308347702026367e+00
5.026662349700927734e-01 7.342926263809204102e-01 1.545953631401062012e+00 1.202546715736389160e+00
5.089647173881530762e-01 7.213830947875976562e-01 1.527097821235656738e+00 1.167155861854553223e+00
5.152750611305236816e-01 7.122189402580261230e-01 1.506494402885437012e+00 1.152619123458862305e+00
5.215665102005004883e-01 6.988977193832397461e-01 1.485557794570922852e+00 1.109787940979003906e+00
5.278289914131164551e-01 6.931465268135070801e-01 1.472469449043273926e+00 1.101831316947937012e+00
5.341163873672485352e-01 6.801680922508239746e-01 1.445967674255371094e+00 1.077930927276611328e+00
5.404307842254638672e-01 6.747637391090393066e-01 1.430711388587951660e+00 1.049982786178588867e+00
5.466980934143066406e-01 6.578658819198608398e-01 1.399008870124816895e+00 1.017212629318237305e+00
5.529599189758300781e-01 6.482725739479064941e-01 1.385314345359802246e+00 1.004042387008666992e+00
5.592443943023681641e-01 6.368060708045959473e-01 1.354706883430480957e+00 9.771693944931030273e-01
5.655549764633178711e-01 6.282401084899902344e-01 1.339827775955200195e+00 9.478030800819396973e-01
5.718548893928527832e-01 6.182992458343505859e-01 1.324117660522460938e+00 9.338305592536926270e-01
5.781230330467224121e-01 6.089931130409240723e-01 1.301698923110961914e+00 9.048421382904052734e-01
5.844058990478515625e-01 6.038931608200073242e-01 1.290350556373596191e+00 8.904609680175781250e-01
5.906696915626525879e-01 5.984274744987487793e-01 1.281979441642761230e+00 8.794389367103576660e-01
5.969164371490478516e-01 5.850316882133483887e-01 1.255012989044189453e+00 8.540019392967224121e-01
6.031712889671325684e-01 5.778108835220336914e-01 1.244290709495544434e+00 8.446098566055297852e-01
6.094692349433898926e-01 5.685783028602600098e-01 1.219825148582458496e+00 8.138339519500732422e-01
6.158122420310974121e-01 5.601452589035034180e-01 1.204966068267822266e+00 8.024338483810424805e-01
6.221026778221130371e-01 5.463464260101318359e-01 1.174060225486755371e+00 7.715114951133728027e-01
