# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 38
8.018244989216327667e-03 2.880050659179687500e+01 5.423050689697265625e+01 6.248442459106445312e+01
1.401655934751033783e-02 3.460443115234375000e+01 7.012753295898437500e+01 8.178880310058593750e+01
1.969251595437526703e-02 3.226361083984375000e+01 6.524298858642578125e+01 7.477389526367187500e+01
2.551339380443096161e-02 2.950290870666503906e+01 5.904063796997070312e+01 6.645182037353515625e+01
3.202908113598823547e-02 2.541211509704589844e+01 5.056998825073242188e+01 5.688994216918945312e+01
3.846523538231849670e-02 2.014896202087402344e+01 4.121686172485351562e+01 4.681990051269531250e+01
4.443310573697090149e-02 1.759723281860351562e+01 3.511534118652343750e+01 4.052385330200195312e+01
5.042308941483497620e-02 1.712900352478027344e+01 3.457884216308593750e+01 3.940203475952148438e+01
5.690929666161537170e-02 1.544246768951416016e+01 3.116250419616699219e+01 3.536478805541992188e+01
6.341847032308578491e-02 1.463252449035644531e+01 2.939068031311035156e+01 3.308648300170898438e+01
6.949992477893829346e-02 1.280365371704101562e+01 2.589804649353027344e+01 2.936713409423828125e+01
7.558133453130722046e-02 1.233032989501953125e+01 2.506761360168457031e+01 2.813134193420410156e+01
8.196274191141128540e-02 1.107512664794921875e+01 2.240933227539062500e+01 2.537566375732421875e+01
8.830232173204421997e-02 9.946576118469238281e+00 2.016477012634277344e+01 2.277010536193847656e+01
9.435217082500457764e-02 8.371554374694824219e+00 1.699442481994628906e+01 1.909770774841308594e+01
1.005600690841674805e-01 7.310517787933349609e+00 1.479788589477539062e+01 1.667778968811035156e+01
1.070138886570930481e-01 6.890727996826171875e+00 1.411254501342773438e+01 1.584858608245849609e+01
1.134273484349250793e-01 6.382305145263671875e+00 1.307988834381103516e+01 1.461919403076171875e+01
1.196089535951614380e-01 6.036652565002441406e+00 1.234418773651123047e+01 1.376690101623535156e+01
1.257804334163665771e-01 5.858081817626953125e+00 1.200378322601318359e+01 1.333019542694091797e+01
1.321490257978439331e-01 5.500163555145263672e+00 1.131509590148925781e+01 1.250837802886962891e+01
1.384563297033309937e-01 5.192860603332519531e+00 1.060786437988281250e+01 1.177763271331787109e+01
1.446497291326522827e-01 4.636710166931152344e+00 9.576554298400878906e+00 1.061466884613037109e+01
1.508535146713256836e-01 4.420148372650146484e+00 9.057072639465332031e+00 1.003395175933837891e+01
1.571729034185409546e-01 4.285852432250976562e+00 8.882813453674316406e+00 9.769968032836914062e+00
1.635417938232421875e-01 3.776144742965698242e+00 7.895056247711181641e+00 8.665036201477050781e+00
1.698256134986877441e-01 3.507689714431762695e+00 7.304453849792480469e+00 8.013524055480957031e+00
1.761013567447662354e-01 3.359240293502807617e+00 7.014788150787353516e+00 7.675433158874511719e+00
1.823998540639877319e-01 3.212351083755493164e+00 6.707101345062255859e+00 7.246308803558349609e+00
1.886507123708724976e-01 3.130988836288452148e+00 6.590239048004150391e+00 7.164762020111083984e+00
1.949081569910049438e-01 2.934277534484863281e+00 6.201883316040039062e+00 6.723521709442138672e+00
