# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 0
8.018244989216327667e-03 3.031891059875488281e+01 5.623449325561523438e+01 6.298526000976562500e+01
1.401655934751033783e-02 4.108313751220703125e+01 7.848844909667968750e+01 9.121576690673828125e+01
1.969251595437526703e-02 3.748117828369140625e+01 7.189979553222656250e+01 8.444129943847656250e+01
2.551339380443096161e-02 3.111157798767089844e+01 5.894697189331054688e+01 6.776425170898437500e+01
3.202908113598823547e-02 2.887524032592773438e+01 5.431396865844726562e+01 6.232783126831054688e+01
3.846523538231849670e-02 2.357834243774414062e+01 4.512330627441406250e+01 5.174030685424804688e+01
4.443310573697090149e-02 2.066823577880859375e+01 3.930847167968750000e+01 4.499685668945312500e+01
5.042308941483497620e-02 1.836443710327148438e+01 3.511796188354492188e+01 4.013157272338867188e+01
5.690929666161537170e-02 1.456312942504882812e+01 2.805791091918945312e+01 3.217831420898437500e+01
6.341847032308578491e-02 1.512967777252197266e+01 2.871537017822265625e+01 3.267762374877929688e+01
6.949992477893829346e-02 1.403661823272705078e+01 2.696715354919433594e+01 3.078511047363281250e+01
7.558133453130722046e-02 1.245332717895507812e+01 2.399063110351562500e+01 2.736896324157714844e+01
8.196274191141128540e-02 1.155162239074707031e+01 2.208511734008789062e+01 2.494890594482421875e+01
8.830232173204421997e-02 1.045271778106689453e+01 2.006151008605957031e+01 2.267104911804199219e+01
9.435217082500457764e-02 8.820319175720214844e+00 1.705983543395996094e+01 1.954758262634277344e+01
1.005600690841674805e-01 7.820033073425292969e+00 1.515915012359619141e+01 1.710618972778320312e+01
1.070138886570930481e-01 7.265581130981445312e+00 1.393888950347900391e+01 1.568003749847412109e+01
1.134273484349250793e-01 6.676397800445556641e+00 1.303243541717529297e+01 1.468379020690917969e+01
1.196089535951614380e-01 6.423739433288574219e+00 1.255098915100097656e+01 1.399993038177490234e+01
1.257804334163665771e-01 6.138423442840576172e+00 1.196883869171142578e+01 1.339937591552734375e+01
1.321490257978439331e-01 5.818889141082763672e+00 1.130770969390869141e+01 1.260307216644287109e+01
1.384563297033309937e-01 5.268403530120849609e+00 1.038058376312255859e+01 1.148590850830078125e+01
1.446497291326522827e-01 5.060360431671142578e+00 9.874027252197265625e+00 1.091370391845703125e+01
1.508535146713256836e-01 4.700076580047607422e+00 9.139658927917480469e+00 1.014007472991943359e+01
1.571729034185409546e-01 4.388179779052734375e+00 8.710190773010253906e+00 9.549544334411621094e+00
1.635417938232421875e-01 3.992531776428222656e+00 7.797047615051269531e+00 8.593822479248046875e+00
1.698256134986877441e-01 3.820115566253662109e+00 7.524359703063964844e+00 8.253739356994628906e+00
1.761013567447662354e-01 3.513538360595703125e+00 6.928367614746093750e+00 7.615324020385742188e+00
1.823998540639877319e-01 3.491232395172119141e+00 6.910109519958496094e+00 7.520736694335937500e+00
1.886507123708724976e-01 3.333353281021118164e+00 6.634996414184570312e+00 7.130769252777099609e+00
1.949081569910049438e-01 3.210141181945800781e+00 6.393884181976318359e+00 6.903625011444091797e+00
2.011425346136093140e-01 3.040863037109375000e+00 6.054037570953369141e+00 6.474845409393310547e+00
2.073954045772552490e-01 2.880667686462402344e+00 5.745048522949218750e+00 6.141536235809326172e+00
2.137389332056045532e-01 2.751887083053588867e+00 5.487640380859375000e+00 5.850833892822265625e+00
2.200330942869186401e-01 2.590100288391113281e+00 5.168009757995605469e+00 5.500043392181396484e+00
2.262930423021316528e-01 2.443679094314575195e+00 4.911342620849609375e+00 5.205753803253173828e+00
2.325985133647918701e-01 2.302654504776000977e+00 4.620090484619140625e+00 4.849244594573974609e+00
2.388891130685806274e-01 2.239405632019042969e+00 4.493486404418945312e+00 4.711194515228271484e+00
2.451218813657760620e-01 2.175359010696411133e+00 4.383291721343994141e+00 4.560708045959472656e+00
2.513737380504608154e-01 2.126572370529174805e+00 4.273011207580566406e+00 4.438003063201904297e+00
2.577070593833923340e-01 2.027836561203002930e+00 4.087129592895507812e+00 4.223888397216796875e+00
2.640204429626464844e-01 1.953874111175537109e+00 3.963726520538330078e+00 4.044057369232177734e+00
2.702898085117340088e-01 1.876482367515563965e+00 3.813862562179565430e+00 3.880083322525024414e+00
2.765615284442901611e-01 1.829492807388305664e+00 3.716039419174194336e+00 3.742637157440185547e+00
2.828698754310607910e-01 1.774196267127990723e+00 3.599145889282226562e+00 3.652225971221923828e+00
2.891486585140228271e-01 1.682697296142578125e+00 3.431153774261474609e+00 3.411097288131713867e+00
2.953523397445678711e-01 1.604152798652648926e+00 3.259209394454956055e+00 3.243400335311889648e+00
3.016075491905212402e-01 1.584430456161499023e+00 3.215640068054199219e+00 3.189897537231445312e+00
3.079382479190826416e-01 1.543552875518798828e+00 3.136631727218627930e+00 3.087843894958496094e+00
3.142760396003723145e-01 1.491896867752075195e+00 3.048228502273559570e+00 2.976967573165893555e+00
3.205462992191314697e-01 1.447441458702087402e+00 2.955294609069824219e+00 2.867982387542724609e+00
3.268128037452697754e-01 1.392302751541137695e+00 2.860917091369628906e+00 2.754724025726318359e+00
3.331238031387329102e-01 1.340184926986694336e+00 2.740005016326904297e+00 2.626862525939941406e+00
3.394046723842620850e-01 1.321634292602539062e+00 2.718850374221801758e+00 2.576594591140747070e+00
3.456391692161560059e-01 1.295453548431396484e+00 2.657059907913208008e+00 2.509907245635986328e+00
3.518808186054229736e-01 1.274390578269958496e+00 2.619451284408569336e+00 2.454877138137817383e+00
3.582032322883605957e-01 1.222743153572082520e+00 2.519551992416381836e+00 2.337213754653930664e+00
3.645117878913879395e-01 1.187875747680664062e+00 2.445287942886352539e+00 2.257143020629882812e+00
3.707640767097473145e-01 1.158382058143615723e+00 2.387229442596435547e+00 2.184555530548095703e+00
3.770540952682495117e-01 1.125880002975463867e+00 2.326064586639404297e+00 2.118152379989624023e+00
3.833588361740112305e-01 1.102592468261718750e+00 2.277462244033813477e+00 2.059758186340332031e+00
3.896513879299163818e-01 1.066222548484802246e+00 2.209823846817016602e+00 1.976762533187866211e+00
3.958770036697387695e-01 1.041823148727416992e+00 2.167619943618774414e+00 1.923633456230163574e+00
4.021126329898834229e-01 1.023773670196533203e+00 2.118125915527343750e+00 1.855760097503662109e+00
4.084537327289581299e-01 9.894070029258728027e-01 2.069194316864013672e+00 1.811719298362731934e+00
